ticker,company_name,index_effective_from,index_effective_to,source
AADI,PT Adaro Andalan Indonesia Tbk,2026-08-03,2026-10-30,IDX30 review reported by Katadata on 2026-07-28
ADMR,PT Adaro Minerals Indonesia Tbk,2026-08-03,2026-10-30,IDX30 review reported by Katadata on 2026-07-28
ADRO,PT Alamtri Resources Indonesia Tbk,2026-08-03,2026-10-30,IDX30 review reported by Katadata on 2026-07-28
AMRT,PT Sumber Alfaria Trijaya Tbk,2026-08-03,2026-10-30,IDX30 review reported by Katadata on 2026-07-28
ANTM,PT Aneka Tambang Tbk,2026-08-03,2026-10-30,IDX30 review reported by Katadata on 2026-07-28
ASII,PT Astra International Tbk,2026-08-03,2026-10-30,IDX30 review reported by Katadata on 2026-07-28
BBCA,PT Bank Central Asia Tbk,2026-08-03,2026-10-30,IDX30 review reported by Katadata on 2026-07-28
BBNI,PT Bank Negara Indonesia (Persero) Tbk,2026-08-03,2026-10-30,IDX30 review reported by Katadata on 2026-07-28
BBRI,PT Bank Rakyat Indonesia (Persero) Tbk,2026-08-03,2026-10-30,IDX30 review reported by Katadata on 2026-07-28
BMRI,PT Bank Mandiri (Persero) Tbk,2026-08-03,2026-10-30,IDX30 review reported by Katadata on 2026-07-28
BRPT,PT Barito Pacific Tbk,2026-08-03,2026-10-30,IDX30 review reported by Katadata on 2026-07-28
BUMI,PT Bumi Resources Tbk,2026-08-03,2026-10-30,IDX30 review reported by Katadata on 2026-07-28
CPIN,PT Charoen Pokphand Indonesia Tbk,2026-08-03,2026-10-30,IDX30 review reported by Katadata on 2026-07-28
DEWA,PT Darma Henwa Tbk,2026-08-03,2026-10-30,IDX30 review reported by Katadata on 2026-07-28
EMTK,PT Elang Mahkota Teknologi Tbk,2026-08-03,2026-10-30,IDX30 review reported by Katadata on 2026-07-28
GOTO,PT GoTo Gojek Tokopedia Tbk,2026-08-03,2026-10-30,IDX30 review reported by Katadata on 2026-07-28
ICBP,PT Indofood CBP Sukses Makmur Tbk,2026-08-03,2026-10-30,IDX30 review reported by Katadata on 2026-07-28
INCO,PT Vale Indonesia Tbk,2026-08-03,2026-10-30,IDX30 review reported by Katadata on 2026-07-28
INDF,PT Indofood Sukses Makmur Tbk,2026-08-03,2026-10-30,IDX30 review reported by Katadata on 2026-07-28
INKP,PT Indah Kiat Pulp & Paper Tbk,2026-08-03,2026-10-30,IDX30 review reported by Katadata on 2026-07-28
JPFA,PT Japfa Comfeed Indonesia Tbk,2026-08-03,2026-10-30,IDX30 review reported by Katadata on 2026-07-28
KLBF,PT Kalbe Farma Tbk,2026-08-03,2026-10-30,IDX30 review reported by Katadata on 2026-07-28
MBMA,PT Merdeka Battery Materials Tbk,2026-08-03,2026-10-30,IDX30 review reported by Katadata on 2026-07-28
MDKA,PT Merdeka Copper Gold Tbk,2026-08-03,2026-10-30,IDX30 review reported by Katadata on 2026-07-28
MEDC,PT Medco Energi Internasional Tbk,2026-08-03,2026-10-30,IDX30 review reported by Katadata on 2026-07-28
PGAS,PT Perusahaan Gas Negara Tbk,2026-08-03,2026-10-30,IDX30 review reported by Katadata on 2026-07-28
PGEO,PT Pertamina Geothermal Energy Tbk,2026-08-03,2026-10-30,IDX30 review reported by Katadata on 2026-07-28
TLKM,PT Telkom Indonesia (Persero) Tbk,2026-08-03,2026-10-30,IDX30 review reported by Katadata on 2026-07-28
UNTR,PT United Tractors Tbk,2026-08-03,2026-10-30,IDX30 review reported by Katadata on 2026-07-28
UNVR,PT Unilever Indonesia Tbk,2026-08-03,2026-10-30,IDX30 review reported by Katadata on 2026-07-28
