ticker,company_name,listing_date,shares,listing_board
AADI,Adaro Andalan Indonesia Tbk.,2024-12-05,7786891760.0,Main
AALI,Astra Agro Lestari Tbk.,1997-12-09,1924688333.0,Main
ABBA,Mahaka Media Tbk.,2002-04-03,3935892857.0,Watchlist
ABDA,Asuransi Bina Dana Arta Tbk.,1989-07-06,620806680.0,Development
ABMM,ABM Investama Tbk.,2011-12-06,2753165000.0,Main
ACES,Aspirasi Hidup Indonesia Tbk.,2007-11-06,17120389700.0,Main
ACRO,Samcro Hyosung Adilestari Tbk.,2024-01-11,3469345537.0,Development
ACST,Acset Indonusa Tbk.,2013-06-24,17675160000.0,Watchlist
ADCP,Adhi Commuter Properti Tbk.,2021-05-21,22222222200.0,Development
ADES,Akasha Wira International Tbk.,1994-06-13,589896800.0,Watchlist
ADHI,Adhi Karya (Persero) Tbk.,2004-03-18,8407608979.0,Main
ADMF,Adira Dinamika Multi Finance T,2004-03-31,1235803109.0,Development
ADMG,Polychem Indonesia Tbk,1993-10-20,3889179559.0,Development
ADMR,Alamtri Minerals Indonesia Tbk,2022-01-03,40882331500.0,Main
ADRO,Alamtri Resources Indonesia Tb,2008-07-16,28800494200.0,Main
AEGS,Anugerah Spareparts Sejahtera,2023-09-11,1006080721.0,Acceleration
AGAR,Asia Sejahtera Mina Tbk.,2019-12-02,1000000000.0,Watchlist
AGII,Samator Indo Gas Tbk.,2016-09-28,3066660000.0,Development
AGRO,Bank Raya Indonesia Tbk.,2003-08-08,24493093216.0,Main
AGRS,Bank IBK Indonesia Tbk.,2014-12-22,47367057874.0,Development
AHAP,Asuransi Harta Aman Pratama Tb,1990-09-14,4900000000.0,Development
AIMS,Artha Mahiya Investama Tbk.,2001-07-20,220000000.0,Development
AISA,FKS Food Sejahtera Tbk.,1997-06-11,9311800000.0,Main
AKKU,Anugerah Kagum Karya Utama Tbk,2004-11-01,6449463636.0,Watchlist
AKPI,Argha Karya Prima Industry Tbk,1992-12-18,612248000.0,Development
AKRA,AKR Corporindo Tbk.,1994-10-03,20073474600.0,Main
AKSI,Mineral Sumberdaya Mandiri Tbk,2001-07-13,720000000.0,Development
ALDO,Alkindo Naratama Tbk.,2011-07-12,2700713744.0,Main
ALII,Ancara Logistics Indonesia Tbk,2024-02-07,15825800000.0,Main
ALKA,Alakasa Industrindo Tbk,1990-07-12,507665055.0,Watchlist
ALMI,Alumindo Light Metal Industry,1997-01-02,3816000000.0,Watchlist
ALTO,Tri Banyan Tirta Tbk.,2012-07-10,2191870558.0,Watchlist
AMAG,Asuransi Multi Artha Guna Tbk.,2005-12-23,5001552516.0,Main
AMAN,Makmur Berkah Amanda Tbk.,2020-03-13,3873500000.0,Development
AMAR,Bank Amar Indonesia Tbk.,2020-01-09,18197283760.0,Main
AMFG,Asahimas Flat Glass Tbk.,1995-11-08,434000000.0,Development
AMIN,Ateliers Mecaniques D Indonesi,2015-12-10,1080000000.0,Development
AMMN,Amman Mineral Internasional Tb,2023-07-07,72518217656.0,Main
AMMS,Agung Menjangan Mas Tbk.,2022-08-04,1235296802.0,Acceleration
AMOR,Ashmore Asset Management Indon,2020-01-14,2222222400.0,Development
AMRT,Sumber Alfaria Trijaya Tbk.,2009-01-15,41524501700.0,Main
ANDI,Andira Agro Tbk.,2018-08-16,9350000000.0,Watchlist
ANJT,Austindo Nusantara Jaya Tbk.,2013-05-08,3354175000.0,Development
ANTM,ANTAM (Persero) Tbk.,1997-11-27,24030764725.0,Main
APEX,Apexindo Pratama Duta Tbk.,2013-06-05,3546466661.0,Development
APIC,Pacific Strategic Financial Tb,2002-12-18,11766313488.0,Development
APII,Arita Prima Indonesia Tbk.,2013-10-29,1075760000.0,Development
APLI,Asiaplast Industries Tbk.,2000-05-01,1362671400.0,Development
APLN,Agung Podomoro Land Tbk.,2010-11-11,22699326779.0,Main
ARCI,Archi Indonesia Tbk.,2021-06-28,25235000000.0,Development
AREA,Dunia Virtual Online Tbk.,2024-04-01,2539601000.0,Development
ARGO,Argo Pantes Tbk,1991-01-07,3174339029.0,Development
ARII,Atlas Resources Tbk.,2011-11-08,3750000000.0,Development
ARKA,Arkha Jayanti Persada Tbk.,2019-07-10,2000000000.0,Watchlist
ARKO,Arkora Hydro Tbk.,2022-07-08,2928495000.0,Development
ARMY,Armidian Karyatama Tbk.,2017-06-21,9006250000.0,Watchlist
ARNA,Arwana Citramulia Tbk.,2001-07-17,7341430976.0,Main
ARTA,Arthavest Tbk,2002-11-05,446674175.0,Development
ARTI,Ratu Prabu Energi Tbk,2003-04-30,7840000000.0,Watchlist
ARTO,Bank Jago Tbk.,2016-01-12,13722768400.0,Main
ASBI,Asuransi Bintang Tbk.,1989-11-29,348386472.0,Development
ASDM,Asuransi Dayin Mitra Tbk.,1989-12-15,384000000.0,Development
ASGR,Astra Graphia Tbk.,1989-11-15,1348780500.0,Main
ASHA,Cilacap Samudera Fishing Indus,2022-05-27,5000000000.0,Development
ASII,Astra International Tbk.,1990-04-04,40483553140.0,Main
ASJT,Asuransi Jasa Tania Tbk.,2003-12-23,1400000000.0,Development
ASLC,Autopedia Sukses Lestari Tbk.,2022-01-25,12746354780.0,Development
ASLI,Asri Karya Lestari Tbk.,2024-01-05,6250000000.0,Development
ASMI,Asuransi Maximus Graha Persada,2014-01-16,8958380460.0,Watchlist
ASPI,Andalan Sakti Primaindo Tbk.,2020-02-17,683810725.0,Development
ASPR,Asia Pramulia Tbk.,2025-07-08,2712000000.0,Development
ASRI,Alam Sutera Realty Tbk.,2007-12-18,19649411888.0,Main
ASRM,Asuransi Ramayana Tbk.,1990-03-19,1277992036.0,Development
ASSA,Adi Sarana Armada Tbk.,2012-11-12,3691137517.0,Main
ATAP,Trimitra Prawara Goldland Tbk.,2020-12-11,1250000000.0,Development
ATIC,Anabatic Technologies Tbk.,2015-07-08,2894201693.0,Development
ATLA,Atlantis Subsea Indonesia Tbk.,2024-04-16,6199577693.0,Development
AUTO,Astra Otoparts Tbk.,1998-06-15,4819733000.0,Main
AVIA,Avia Avian Tbk.,2021-12-08,61953555600.0,Main
AWAN,Era Digital Media Tbk.,2023-04-18,3435000000.0,Development
AXIO,Tera Data Indonusa Tbk.,2022-07-20,5840126500.0,Development
AYAM,Janu Putra Sejahtera Tbk.,2023-11-30,4000000000.0,Development
AYLS,Arkayana Lestari Grup Tbk.,2020-02-12,853423236.0,Development
BABP,Bank MNC Internasional Tbk.,2002-07-15,44014333126.0,Development
BABY,Multitrend Indo Tbk.,2023-09-07,2854826582.0,Development
BACA,Bank Capital Indonesia Tbk.,2007-10-04,19753494636.0,Main
BACH,Bach Multi Global Tbk.,2026-07-08,4084430000.0,Main
BAIK,Bersama Mencapai Puncak Tbk.,2024-02-15,1127497572.0,Development
BAJA,Saranacentral Bajatama Tbk.,2011-12-21,1800000000.0,Development
BALI,Bali Towerindo Sentra Tbk.,2014-03-13,3934592500.0,Main
BANK,Bank Aladin Syariah Tbk.,2021-02-01,14793174908.0,Development
BAPA,Bekasi Asri Pemula Tbk.,2008-01-14,661784520.0,Development
BAPI,Bhakti Agung Propertindo Tbk.,2019-09-16,5591980103.0,Watchlist
BATA,Sepatu Bata Tbk.,1982-03-24,1300000000.0,Watchlist
BATR,Benteng Api Technic Tbk.,2024-06-10,3025037353.0,Development
BAUT,Mitra Angkasa Sejahtera Tbk.,2022-01-28,4800182969.0,Watchlist
BAYU,Bayu Buana Tbk,1989-10-30,353220780.0,Main
BBCA,Bank Central Asia Tbk.,2000-05-31,122042299500.0,Main
BBHI,Allo Bank Indonesia Tbk.,2015-08-12,21512953877.0,Main
BBKP,Bank KB Indonesia Tbk.,2006-07-10,185819884852.0,Development
BBLD,Buana Finance Tbk.,1990-05-07,1645796054.0,Development
BBMD,Bank Mestika Dharma Tbk.,2013-07-08,4049189100.0,Main
BBNI,Bank Negara Indonesia (Persero,1996-11-25,36924339786.0,Main
BBRI,Bank Rakyat Indonesia (Persero,2003-11-10,150043411587.0,Main
BBRM,Pelayaran Nasional Bina Buana,2013-01-09,8479490328.0,Development
BBSI,Krom Bank Indonesia Tbk.,2020-09-07,3637976068.0,Main
BBSS,Bumi Benowo Sukses Sejahtera T,2020-04-15,4800016020.0,Development
BBTN,Bank Tabungan Negara (Persero),2009-12-17,13894099969.0,Main
BBYB,Bank Neo Commerce Tbk.,2015-01-13,13216977523.0,Main
BCAP,MNC Kapital Indonesia Tbk.,2001-06-08,42618850927.0,Main
BCIC,Bank JTrust Indonesia Tbk.,1997-06-25,17926071041.0,Development
BCIP,Bumi Citra Permai Tbk.,2009-12-11,1429915525.0,Development
