signal_date,eligible_tickers,online_best_mlp_weight,online_soft_mlp_weight
2015-02-28,442.0,0.0,0.0
2015-03-31,443.0,0.0,0.0
2015-04-30,443.0,0.0,0.0
2015-05-31,444.0,0.0,0.0
2015-06-30,444.0,0.0,0.0
2015-07-31,446.0,0.0,0.0
2015-08-31,449.0,0.0,0.0
2015-09-30,452.0,0.0,0.0
2015-10-31,453.0,0.0,0.0
2015-11-30,454.0,0.0,0.0
2015-12-31,455.0,0.0,0.0
2016-01-31,455.0,0.0,0.0
2016-02-29,459.0,0.0,0.0
2016-03-31,460.0,0.0,0.0
2016-04-30,461.0,0.0,0.0
2016-05-31,461.0,0.0,0.0
2016-06-30,461.0,0.0,0.0
2016-07-31,462.0,0.0,0.0
2016-08-31,465.0,0.0,0.0
2016-09-30,468.0,0.0,0.0
2016-10-31,468.0,0.0,0.0
2016-11-30,471.0,0.0,0.0
2016-12-31,471.0,0.0,0.0
2017-01-31,471.0,0.0,0.0
2017-02-28,473.0,0.0,0.0
2017-03-31,473.0,0.0,0.0
2017-04-30,473.0,0.0,0.0
2017-05-31,474.0,0.0,0.0
2017-06-30,476.0,0.0,0.0
2017-07-31,480.0,0.0,0.0
2017-08-31,488.0,0.0,0.0
2017-09-30,490.0,0.0,0.0
2017-10-31,490.0,0.0,0.0
2017-11-30,493.0,0.0,0.0
2017-12-31,497.0,0.0,0.0
2018-01-31,500.0,0.0,0.0
2018-02-28,500.0,0.0,0.0
2018-03-31,500.0,0.0,0.0
2018-04-30,500.0,0.0,0.0
2018-05-31,500.0,0.0,0.0
2018-06-30,500.0,0.0,0.0
2018-07-31,500.0,0.0,0.25
2018-08-31,500.0,0.0,0.25
2018-09-30,500.0,0.0,0.25
2018-10-31,500.0,0.0,0.25
2018-11-30,500.0,0.0,0.25
2018-12-31,500.0,0.0,0.25
2019-01-31,500.0,0.0,0.25
2019-02-28,500.0,0.0,0.25
2019-03-31,500.0,0.0,0.25
2019-04-30,500.0,0.0,0.25
2019-05-31,500.0,0.0,0.25
2019-06-30,500.0,0.0,0.25
2019-07-31,500.0,0.0,0.25
2019-08-31,500.0,1.0,0.5
2019-09-30,500.0,1.0,0.75
2019-10-31,500.0,1.0,0.75
2019-11-30,500.0,1.0,0.75
2019-12-31,500.0,0.0,0.25
2020-01-31,500.0,0.0,0.25
2020-02-29,500.0,0.0,0.25
2020-03-31,500.0,0.0,0.25
2020-04-30,500.0,0.0,0.25
2020-05-31,500.0,0.0,0.5
2020-06-30,500.0,1.0,0.75
2020-07-31,500.0,0.0,0.5
2020-08-31,500.0,0.0,0.25
2020-09-30,500.0,0.0,0.25
2020-10-31,500.0,0.0,0.25
2020-11-30,500.0,0.0,0.25
2020-12-31,500.0,0.0,0.25
2021-01-31,500.0,0.0,0.25
2021-02-28,500.0,0.0,0.25
2021-03-31,500.0,0.0,0.25
2021-04-30,500.0,0.0,0.25
2021-05-31,500.0,0.0,0.25
2021-06-30,500.0,0.0,0.25
2021-07-31,500.0,0.0,0.25
2021-08-31,500.0,0.0,0.25
2021-09-30,500.0,0.0,0.25
2021-10-31,500.0,0.0,0.25
2021-11-30,500.0,0.0,0.25
2021-12-31,500.0,0.0,0.25
2022-01-31,500.0,0.0,0.25
2022-02-28,500.0,0.0,0.25
2022-03-31,500.0,0.0,0.25
2022-04-30,500.0,0.0,0.25
2022-05-31,500.0,0.0,0.25
2022-06-30,500.0,0.0,0.25
2022-07-31,500.0,0.0,0.25
2022-08-31,500.0,0.0,0.25
2022-09-30,500.0,0.0,0.25
2022-10-31,500.0,0.0,0.25
2022-11-30,500.0,0.0,0.25
2022-12-31,500.0,0.0,0.25
2023-01-31,500.0,0.0,0.25
2023-02-28,500.0,0.0,0.5
2023-03-31,500.0,0.0,0.25
2023-04-30,500.0,1.0,0.5
2023-05-31,500.0,1.0,0.75
2023-06-30,500.0,1.0,0.75
2023-07-31,500.0,1.0,0.75
2023-08-31,500.0,1.0,0.75
2023-09-30,500.0,1.0,0.75
2023-10-31,500.0,1.0,0.75
2023-11-30,500.0,1.0,0.75
2023-12-31,500.0,1.0,0.75
2024-01-31,500.0,1.0,0.75
2024-02-29,500.0,1.0,0.75
2024-03-31,500.0,1.0,0.75
2024-04-30,500.0,1.0,0.75
2024-05-31,500.0,1.0,0.75
2024-06-30,500.0,1.0,0.75
2024-07-31,500.0,1.0,0.75
2024-08-31,500.0,1.0,0.75
2024-09-30,500.0,1.0,0.75
2024-10-31,500.0,1.0,0.75
2024-11-30,500.0,1.0,0.75
2024-12-31,500.0,1.0,0.75
2025-01-31,500.0,1.0,0.75
2025-02-28,500.0,1.0,0.75
2025-03-31,500.0,1.0,0.75
2025-04-30,500.0,1.0,0.75
2025-05-31,500.0,0.0,0.5
2025-06-30,500.0,0.0,0.5
2025-07-31,500.0,0.0,0.25
2025-08-31,500.0,0.0,0.25
2025-09-30,500.0,0.0,0.25
2025-10-31,500.0,1.0,0.5
2025-11-30,500.0,0.0,0.5
2025-12-31,500.0,0.0,0.25
2026-01-31,500.0,1.0,0.75
2026-02-28,500.0,1.0,0.75
2026-03-31,500.0,1.0,0.75
2026-04-30,500.0,1.0,0.75
2026-05-31,500.0,1.0,0.75
2026-06-30,500.0,1.0,0.75
2026-07-31,500.0,1.0,0.75
