model,top_k,cost_bps,period,months,strategy_total_return,benchmark_total_return,strategy_cagr,benchmark_cagr,excess_cagr,strategy_volatility,strategy_sharpe_rf0,strategy_max_drawdown,benchmark_max_drawdown,active_hit_rate,information_ratio,beta_to_benchmark,annualized_alpha_rf0,average_monthly_turnover
cap500_composite,1,25.0,validation,24,0.21862607396634592,0.08698189041321247,0.10391397942337233,0.04258423660307309,0.06132974282029924,1.1776273960720798,0.49248072683821253,-0.5791164939144314,-0.08239866000360974,0.4166666666666667,0.44328982540090567,-4.272581227644249,1.1152981432114784,0.7083333333333334
cap500_composite,1,25.0,holdout_2024,12,0.742906504201049,-0.013699490369203038,0.742906504201049,-0.013699490369203038,0.756605994570252,0.4196048442660687,1.5343581903932755,-0.10887541472981521,-0.07702368625268208,0.6666666666666666,1.422506810840284,-1.0913923050770495,0.855254898890335,0.5
cap500_composite,1,25.0,holdout_2025_2026,18,0.504891854516488,-0.12280852134116271,0.3132181031881289,-0.08364672551481533,0.39686482870294426,1.7318089367696021,0.8449256660812525,-0.7107771082151437,-0.34737666250868915,0.5,0.9116609562104575,2.2790302177456776,3.463360933633693,0.7222222222222222
mlp_rank,1,25.0,validation,24,0.26211675017729785,0.08698189041321247,0.12343969583475989,0.04258423660307309,0.0808554592316868,0.4487222554443442,0.48187400066288444,-0.34835707969550056,-0.08239866000360974,0.5416666666666666,0.35703258896055945,-1.460101785685104,0.321749020093931,0.6666666666666666
mlp_rank,1,25.0,holdout_2024,12,0.5934881320058984,-0.013699490369203038,0.5934881320058984,-0.013699490369203038,0.6071876223751015,0.4481519595723235,1.2587334237559016,-0.18834453279248453,-0.07702368625268208,0.6666666666666666,1.3179828620937708,1.0496369964094328,0.7507969291657997,0.5
mlp_rank,1,25.0,holdout_2025_2026,18,0.19328907679205343,-0.12280852134116271,0.12502915369156642,-0.08364672551481533,0.20867587920638175,0.5183180971372873,0.47024442368336766,-0.3619350115307636,-0.34737666250868915,0.5555555555555556,0.5665681475365694,0.39342465063835474,0.30115184115908566,0.7777777777777778
baseline_mlp_blend_50,1,25.0,validation,24,2.318192003080569,0.08698189041321247,0.821590514654863,0.04258423660307309,0.7790062780517899,1.0213880763647476,0.9110255207066729,-0.36243927833266654,-0.08239866000360974,0.4166666666666667,0.8418425668876657,-3.87149467157773,1.8791766585449436,0.7916666666666666
baseline_mlp_blend_50,1,25.0,holdout_2024,12,0.8702571800895236,-0.013699490369203038,0.8702571800895236,-0.013699490369203038,0.8839566704587266,0.3686070743846964,1.8991172775052132,-0.053594933642175935,-0.07702368625268208,0.75,1.7653589543780233,-0.6721005164217555,0.9635953414495129,0.5833333333333334
baseline_mlp_blend_50,1,25.0,holdout_2025_2026,18,-0.045983215782941844,-0.12280852134116271,-0.030895351091611345,-0.08364672551481533,0.05275137442320399,0.9879017729946322,0.4298516618415268,-0.7808231238253037,-0.34737666250868915,0.5555555555555556,0.5248116210891355,1.5888609161439609,0.6560778510041338,0.7777777777777778
online_best,1,25.0,validation,24,0.6073125395258954,0.08698189041321247,0.2677983039608056,0.04258423660307309,0.22521406735773253,1.0816061101082781,0.5709846597856406,-0.46242537060254396,-0.08239866000360974,0.375,0.5129528875528027,-4.746999027105266,1.235708467063923,0.8333333333333334
online_best,1,25.0,holdout_2024,12,0.5934881320058984,-0.013699490369203038,0.5934881320058984,-0.013699490369203038,0.6071876223751015,0.4481519595723235,1.2587334237559016,-0.18834453279248453,-0.07702368625268208,0.6666666666666666,1.3179828620937708,1.0496369964094328,0.7507969291657997,0.5
online_best,1,25.0,holdout_2025_2026,18,0.30809693237864355,-0.12280852134116271,0.19607923708222108,-0.08364672551481533,0.2797259625970364,1.240230856909349,0.6040929082486056,-0.611127657592829,-0.34737666250868915,0.5555555555555556,0.6635016255995602,1.0029531839651624,1.1824285444748077,0.7777777777777778
online_soft,1,25.0,validation,24,2.5237031047710463,0.08698189041321247,0.8771529252490449,0.04258423660307309,0.8345686886459718,1.0434154569196945,0.9424224246334367,-0.34835707969550067,-0.08239866000360974,0.4583333333333333,0.8736694522755107,-3.9836919534354394,2.035579673986351,0.9166666666666666
online_soft,1,25.0,holdout_2024,12,1.3708638729330178,-0.013699490369203038,1.3708638729330178,-0.013699490369203038,1.3845633633022207,0.44480854297269923,2.1978874965805857,-0.053594933642175935,-0.07702368625268208,0.75,2.089816626915155,-0.6537136827875087,1.5460162773775812,0.5
online_soft,1,25.0,holdout_2025_2026,18,0.818544836435865,-0.12280852134116271,0.48987331657612065,-0.08364672551481533,0.573520042090936,0.8705576101767464,0.8261202426636658,-0.571902908558681,-0.34737666250868915,0.5555555555555556,0.9392965313067805,1.1111147491271753,1.1341216524337274,0.7222222222222222
cap500_composite,1,100.0,validation,24,0.06690939846102406,0.08698189041321247,0.032913064328757624,0.04258423660307309,-0.009671172274315465,1.179658589871289,0.4375916899977749,-0.5907395161740443,-0.08239866000360974,0.4166666666666667,0.38984285289392206,-4.251973574457208,0.9902787655994283,0.7083333333333334
cap500_composite,1,100.0,holdout_2024,12,0.6720900774546161,-0.013699490369203038,0.6720900774546161,-0.013699490369203038,0.6857895678238192,0.4142779424191142,1.4454646704856966,-0.10887541472981521,-0.07702368625268208,0.6666666666666666,1.3407873411093665,-1.0606541314182452,0.7779530296991746,0.5
cap500_composite,1,100.0,holdout_2025_2026,18,0.33835422221581357,-0.12280852134116271,0.21445300992041805,-0.08364672551481533,0.2980997354352334,1.736178131371236,0.805360806106446,-0.7258318886294688,-0.34737666250868915,0.5,0.8706980740826109,2.299129968225951,3.218158386877284,0.7222222222222222
mlp_rank,1,100.0,validation,24,0.12001389711441535,0.08698189041321247,0.05830709017487701,0.04258423660307309,0.01572285357180392,0.4480786706749818,0.3486610692316575,-0.36342720594314215,-0.08239866000360974,0.5,0.2319646530830273,-1.4746814133493238,0.2471212640111704,0.6666666666666666
mlp_rank,1,100.0,holdout_2024,12,0.5222007448074701,-0.013699490369203038,0.5222007448074701,-0.013699490369203038,0.5359002351766732,0.4540732193044343,1.1432161782863328,-0.19699596174364176,-0.07702368625268208,0.6666666666666666,1.195187035819373,1.0126139527400098,0.676542717314744,0.5
mlp_rank,1,100.0,holdout_2025_2026,18,0.07045763631975488,-0.12280852134116271,0.046436765527034796,-0.08364672551481533,0.13008349104185013,0.5232559949750138,0.3320290575577249,-0.3923904737422804,-0.34737666250868915,0.5555555555555556,0.4332142342201521,0.4196592286893895,0.21658007788282263,0.7777777777777778
baseline_mlp_blend_50,1,100.0,validation,24,1.8833883762205184,0.08698189041321247,0.6980542913053511,0.04258423660307309,0.655470054702278,1.0250471574387043,0.8382644621549162,-0.39119323826904284,-0.08239866000360974,0.3333333333333333,0.771299411239192,-3.9085628597420095,1.7010187557889052,0.7916666666666666
baseline_mlp_blend_50,1,100.0,holdout_2024,12,0.780459904173219,-0.013699490369203038,0.780459904173219,-0.013699490369203038,0.794159394542422,0.36543347390650605,1.771945127665815,-0.061094933642175886,-0.07702368625268208,0.75,1.6476227779948676,-0.6625028041604083,0.8684797784653235,0.5833333333333334
baseline_mlp_blend_50,1,100.0,holdout_2025_2026,18,-0.1501850498950673,-0.12280852134116271,-0.1028131256133421,-0.08364672551481533,-0.01916640009852677,0.9909416480492066,0.3578931408888797,-0.7919658551211604,-0.34737666250868915,0.5555555555555556,0.4471982147275924,1.5966930337557663,0.5489475562840478,0.7777777777777778
online_best,1,100.0,validation,24,0.38114937108387026,0.08698189041321247,0.17522311544824132,0.04258423660307309,0.13263887884516823,1.0842440370115705,0.5004228552621084,-0.47271198518295343,-0.08239866000360974,0.3333333333333333,0.444722292480185,-4.746374746045344,1.0837923523963218,0.8333333333333334
online_best,1,100.0,holdout_2024,12,0.5222007448074701,-0.013699490369203038,0.5222007448074701,-0.013699490369203038,0.5359002351766732,0.4540732193044343,1.1432161782863328,-0.19699596174364176,-0.07702368625268208,0.6666666666666666,1.195187035819373,1.0126139527400098,0.676542717314744,0.5
online_best,1,100.0,holdout_2025_2026,18,0.16918751158701495,-0.12280852134116271,0.10982911019369412,-0.08364672551481533,0.19347583570850946,1.2415843600928682,0.547054785064484,-0.6402655058376965,-0.34737666250868915,0.5555555555555556,0.6058639335231621,1.029187762016197,1.046384707446991,0.7777777777777778
online_soft,1,100.0,validation,24,1.9990885034486814,0.08698189041321247,0.7317876611896394,0.04258423660307309,0.6892034245865664,1.0467730730780864,0.8605858786196188,-0.36342720594314215,-0.08239866000360974,0.375,0.7943900580614615,-3.990778142561993,1.8158129657020594,0.9166666666666666
online_soft,1,100.0,holdout_2024,12,1.2746232056492284,-0.013699490369203038,1.2746232056492284,-0.013699490369203038,1.2883226960184313,0.4423729935901521,2.1082641763524816,-0.061094933642175886,-0.07702368625268208,0.75,2.0056786446679706,-0.6389285277237936,1.4423236008786957,0.5
online_soft,1,100.0,holdout_2025_2026,18,0.6385530566497246,-0.12280852134116271,0.38986837244618044,-0.08364672551481533,0.4735150979609958,0.8774770647674867,0.7455297584846395,-0.5967482169659224,-0.34737666250868915,0.5555555555555556,0.8545909004499909,1.1306640333485478,1.0095882978141142,0.7222222222222222
cap500_composite,3,25.0,validation,24,0.49186459055114407,0.08698189041321247,0.2214190888270675,0.04258423660307309,0.17883485222399442,0.5342263486180762,0.6285402205208803,-0.37760286481893424,-0.08239866000360974,0.5,0.542929190404986,0.42637259965073626,0.3667132262495596,0.6527777777777778
cap500_composite,3,25.0,holdout_2024,12,0.18024649348889632,-0.013699490369203038,0.18024649348889632,-0.013699490369203038,0.19394598385809936,0.34402284644219555,0.6405827943188983,-0.1605050518914155,-0.07702368625268208,0.5,0.6979825830309443,0.9873069211172075,0.25471725687296276,0.5555555555555556
cap500_composite,3,25.0,holdout_2025_2026,18,-0.18092895463288006,-0.12280852134116271,-0.12458419659573938,-0.08364672551481533,-0.04093747108092405,0.7301371716822724,0.14711848603837382,-0.5317924833400742,-0.34737666250868915,0.3888888888888889,0.24703209543478385,1.234296229531283,0.19298570481588628,0.6666666666666666
