model,period,months,strategy_total_return,benchmark_total_return,strategy_cagr,benchmark_cagr,excess_cagr,strategy_volatility,strategy_sharpe_rf0,strategy_max_drawdown,benchmark_max_drawdown,active_hit_rate,information_ratio,beta_to_benchmark,annualized_alpha_rf0,average_monthly_turnover
cap300_composite,train,84,11.247777618460113,0.253666976254024,0.4303316741971135,0.03282329933278594,0.39750837486432755,0.39089414920463134,1.1078239332058153,-0.46007722729912726,-0.31286953927505656,0.5714285714285714,1.0013760404900802,0.5118532135683739,0.49862203241683467,0.4444444444444445
cap300_composite,validation,24,-0.0008408965678227132,0.08698189041321247,-0.00042053670947339583,0.04258423660307309,-0.043004773312546485,0.6231299808576032,0.29778467640143425,-0.4954771887407382,-0.08239866000360974,0.5416666666666666,0.22431585539283358,0.2744479151210397,0.1875783997599827,0.5694444444444444
cap300_composite,holdout_2024,12,0.4366983979652226,-0.013699490369203038,0.4366983979652226,-0.013699490369203038,0.4503978883344256,0.36701057056774444,1.1662315645596228,-0.126977859267273,-0.07702368625268208,0.5833333333333334,1.2179159722989619,0.7799782688459644,0.5329480865503078,0.5555555555555555
cap300_composite,holdout_2025_2026,18,-0.005487411227226402,-0.12280852134116271,-0.003661628079903445,-0.08364672551481533,0.07998509743491189,1.089364616877133,0.3662903289946666,-0.6037880622926934,-0.34737666250868915,0.3888888888888889,0.44356300368290275,1.5569602436817358,0.6130187020355184,0.5925925925925926
cap300_composite,full,138,16.485088480901734,0.17898466485591435,0.2825020635073001,0.01442069489760045,0.26808136860969967,0.5626230621829036,0.684521202601704,-0.6037880622926934,-0.34737666250868904,0.5434782608695652,0.6564251867316178,0.874845321892746,0.42985311510653235,0.49516908212560395
mlp_rank,train,84,0.2621373129640525,0.253666976254024,0.033817312983367875,0.03282329933278594,0.0009940136505819375,0.20532264276625822,0.26143407003481817,-0.3523754258506061,-0.31286953927505656,0.44047619047619047,0.05077410694588386,0.2687607741463393,0.04316825858501816,0.39682539682539675
mlp_rank,validation,24,0.23903880390347432,0.08698189041321247,0.11312119910792928,0.04258423660307309,0.0705369625048562,0.3752433331475809,0.4490999536579881,-0.33318214711201144,-0.08239866000360974,0.5,0.3213638828519036,0.05005696182837896,0.17953227927858362,0.5138888888888888
mlp_rank,holdout_2024,12,0.23133437380524047,-0.013699490369203038,0.23133437380524047,-0.013699490369203038,0.2450338641744435,0.22876215191931762,1.0210396457292665,-0.1011317188267361,-0.07702368625268208,0.5,1.0265880247099504,0.3422071384063118,0.264006703411366,0.5833333333333334
mlp_rank,holdout_2025_2026,18,0.33103895599949906,-0.12280852134116271,0.21002360958149868,-0.08364672551481533,0.293670335096314,0.3235021625447756,0.7385085054595791,-0.2458179760072705,-0.34737666250868915,0.5555555555555556,0.9257945467187446,0.5203366012323275,0.3042177894819227,0.7592592592592592
mlp_rank,full,138,1.563057111570457,0.17898466485591435,0.08528599460764319,0.01442069489760045,0.07086529971004274,0.2585969558273189,0.43873233793442,-0.3837383342520564,-0.34737666250868904,0.47101449275362317,0.3243085418696332,0.33892040975260085,0.1100539169951762,0.48067632850241543
baseline_mlp_blend_50,train,84,17.993013770914445,0.253666976254024,0.5228469892421315,0.03282329933278594,0.49002368990934553,0.41788314505149693,1.204827172251461,-0.38256155937733005,-0.31286953927505656,0.5952380952380952,1.0917069271251503,0.3992341908443799,0.6112684051235877,0.5039682539682541
