model,top_k,cost_bps,period,months,strategy_total_return,benchmark_total_return,strategy_cagr,benchmark_cagr,excess_cagr,strategy_volatility,strategy_sharpe_rf0,strategy_max_drawdown,benchmark_max_drawdown,active_hit_rate,information_ratio,beta_to_benchmark,annualized_alpha_rf0,average_monthly_turnover
cap300_composite,1,25.0,validation,24,-0.10167586643681847,0.08698189041321247,-0.052200372671954764,0.04258423660307309,-0.09478460927502785,1.1379034033732307,0.36301209094730746,-0.5394250108929588,-0.08239866000360974,0.4583333333333333,0.3210548082265026,-0.761523699484859,0.5517002173596612,0.9166666666666666
cap300_composite,1,25.0,holdout_2024,12,1.991540606405163,-0.013699490369203038,1.991540606405163,-0.013699490369203038,2.005240096774366,0.6490105642638929,2.0259246760401504,-0.11382113821138207,-0.07702368625268208,0.6666666666666666,1.9601570966610333,-1.1083993951815079,2.4517340758970767,0.5
cap300_composite,1,25.0,holdout_2025_2026,18,-0.5144682725524825,-0.12280852134116271,-0.3822514381901202,-0.08364672551481533,-0.29860471267530486,1.301105872264113,0.1919726186265019,-0.8119949297415009,-0.34737666250868915,0.4444444444444444,0.24877605475147527,1.9033332275950194,0.42334509358127614,0.7222222222222222
mlp_rank,1,25.0,validation,24,1.5346934863701676,0.08698189041321247,0.5920720732335478,0.04258423660307309,0.5494878366304747,0.2868131079821403,1.780175060266704,-0.1926650794675414,-0.08239866000360974,0.5416666666666666,1.5056288158418034,-0.42558949197842727,0.6794246772578452,0.6666666666666666
mlp_rank,1,25.0,holdout_2024,12,1.0860871949061095,-0.013699490369203038,1.0860871949061095,-0.013699490369203038,1.0997866852753124,0.5220642220487622,1.6585823001870375,-0.055446503602844865,-0.07702368625268208,0.5833333333333334,1.631998714786229,-0.17995796846637696,1.3038791182887852,0.6666666666666666
mlp_rank,1,25.0,holdout_2025_2026,18,-0.2129393711718629,-0.12280852134116271,-0.1475436985382097,-0.08364672551481533,-0.06389697302339437,0.4441147827191316,-0.14686491359398432,-0.3833085004321224,-0.34737666250868915,0.3888888888888889,-0.019136659998924003,0.5993573065688474,-0.030627160043234625,0.8333333333333334
baseline_mlp_blend_50,1,25.0,validation,24,0.6761141641289119,0.08698189041321247,0.2946482781546933,0.04258423660307309,0.2520640415516202,1.0587312478673259,0.6654243711670199,-0.615809507969955,-0.08239866000360974,0.4583333333333333,0.6211875499158036,0.11086838862421484,0.9736139608832608,0.75
baseline_mlp_blend_50,1,25.0,holdout_2024,12,1.3845552581527083,-0.013699490369203038,1.3845552581527083,-0.013699490369203038,1.3982547485219112,0.5237751957686476,1.9258907219530785,-0.05359489051094901,-0.07702368625268208,0.75,1.8682019501869045,-0.53184431352309,1.6228218747105099,0.75
baseline_mlp_blend_50,1,25.0,holdout_2025_2026,18,-0.18789255685036954,-0.12280852134116271,-0.1295530111180806,-0.08364672551481533,-0.04590628560326526,0.9113083822955005,0.22050987813036793,-0.5453855509895789,-0.34737666250868915,0.3888888888888889,0.2940543553863754,0.9967975718217,0.29050500688126424,0.8333333333333334
online_best,1,25.0,validation,24,-0.08076705759646552,0.08698189041321247,-0.041233635131303514,0.04258423660307309,-0.0838178717343766,0.6508153713048543,0.24972550999299076,-0.41724654377880177,-0.08239866000360974,0.5,0.18235409521318732,1.1695568257980176,0.11534497186005921,0.7916666666666666
