model,top_k,cost_bps,period,months,strategy_total_return,benchmark_total_return,strategy_cagr,benchmark_cagr,excess_cagr,strategy_volatility,strategy_sharpe_rf0,strategy_max_drawdown,benchmark_max_drawdown,active_hit_rate,information_ratio,beta_to_benchmark,annualized_alpha_rf0,average_monthly_turnover
cap300_composite,1,25.0,validation,24,-0.24503259143181744,0.08698189041321247,-0.1311113946148318,0.04258423660307309,-0.17369563121790488,1.1968855752505703,0.30156804569209184,-0.5791164939144315,-0.08239866000360974,0.375,0.2603236096364669,-2.1881812330970227,0.5702819643060193,0.7916666666666666
cap300_composite,1,25.0,holdout_2024,12,1.234586762228631,-0.013699490369203038,1.234586762228631,-0.013699490369203038,1.248286252597834,0.5626514712010119,1.7026884258891273,-0.10887541472981521,-0.07702368625268208,0.6666666666666666,1.6394096311120643,-0.9433531038425382,1.4942892820903828,0.6666666666666666
cap300_composite,1,25.0,holdout_2025_2026,18,-0.513073538257168,-0.12280852134116271,-0.381068977696704,-0.08364672551481533,-0.29742225218188867,1.3007448083219324,0.19302467662857822,-0.8119949233965813,-0.34737666250868915,0.4444444444444444,0.24992156015833453,1.9047940362986016,0.42525686273826957,0.7222222222222222
mlp_rank,1,25.0,validation,24,0.5354978333283302,0.08698189041321247,0.23915206222978558,0.04258423660307309,0.1965678256267125,0.29375243980667615,0.8714892889977179,-0.16354735156939915,-0.08239866000360974,0.4166666666666667,0.7109248746398904,0.3861578322011995,0.26643753603494824,0.6666666666666666
mlp_rank,1,25.0,holdout_2024,12,0.24419628180080633,-0.013699490369203038,0.24419628180080633,-0.013699490369203038,0.25789577217000936,0.35767321984724476,0.7780122233872743,-0.18620685169888007,-0.07702368625268208,0.5833333333333334,0.8560520435935981,1.2151907091128942,0.3304940586780203,0.5
mlp_rank,1,25.0,holdout_2025_2026,18,0.23839814232233847,-0.12280852134116271,0.15320591486739898,-0.08364672551481533,0.23685264038221432,0.5631709892251316,0.5040864416215084,-0.3577451305807259,-0.34737666250868915,0.4444444444444444,0.6479101199583281,0.8286932706862016,0.38628938780080424,0.8333333333333334
baseline_mlp_blend_50,1,25.0,validation,24,0.06814474821406402,0.08698189041321247,0.0335108844197356,0.04258423660307309,-0.00907335218333749,1.0921702614767064,0.437961600329541,-0.5999999871175747,-0.08239866000360974,0.375,0.39392646468410875,-0.6226861555540588,0.6422662193198403,0.75
baseline_mlp_blend_50,1,25.0,holdout_2024,12,1.3978635265388912,-0.013699490369203038,1.3978635265388912,-0.013699490369203038,1.4115630169080942,0.5226556143576581,1.940520782726537,-0.053594933642175935,-0.07702368625268208,0.75,1.8825383127639117,-0.5240613151872439,1.636307650448742,0.75
baseline_mlp_blend_50,1,25.0,holdout_2025_2026,18,-0.21653842067416695,-0.12280852134116271,-0.1501444091787717,-0.08364672551481533,-0.06649768366395636,0.9135992975782663,0.19567219548446516,-0.5614214090908773,-0.34737666250868915,0.3888888888888889,0.2689714402137669,1.0406030004896056,0.26584800360145744,0.8888888888888888
online_best,1,25.0,validation,24,-0.4767775260346049,0.08698189041321247,-0.2766588122017417,0.04258423660307309,-0.3192430488048148,0.6931340339137105,-0.12637296035985554,-0.5791164939144313,-0.08239866000360974,0.375,-0.19274984042511756,0.9041932752591264,-0.12116231929745624,0.7083333333333334
