model,top_k,cost_bps,period,months,strategy_total_return,benchmark_total_return,strategy_cagr,benchmark_cagr,excess_cagr,strategy_volatility,strategy_sharpe_rf0,strategy_max_drawdown,benchmark_max_drawdown,active_hit_rate,information_ratio,beta_to_benchmark,annualized_alpha_rf0,average_monthly_turnover
existing_composite,1,25.0,validation,24,-0.4428521324395993,0.08698189041321247,-0.25357661641639284,0.04258423660307309,-0.29616085301946593,1.0649827803939955,0.11388129269181119,-0.6686868041827656,-0.08239866000360974,0.4166666666666667,0.06960509861904275,-3.723341090608009,0.33127372592280135,0.6666666666666666
existing_composite,1,25.0,holdout,30,-0.44104710283543547,-0.1348255975549968,-0.20758974997288349,-0.05628368183725396,-0.15130606813562952,1.0599342893544048,0.272181477521489,-0.8806237998466316,-0.34737666250868904,0.5333333333333333,0.32042247341642704,1.5836997714587062,0.4095517486450595,0.6
ridge,1,25.0,validation,24,-0.9882071211198412,0.08698189041321247,-0.8914049776455719,0.04258423660307309,-0.933989214248645,0.9473711129637132,-1.524443961032873,-0.9837288594942933,-0.08239866000360974,0.375,-1.5426975393525597,-1.9123936794034275,-0.7632912335366229,0.9583333333333334
ridge,1,25.0,holdout,30,-0.25595640679913256,-0.1348255975549968,-0.11153698726655692,-0.05628368183725396,-0.05525330542930296,0.8965892518524068,0.2871222364285634,-0.7531831538951934,-0.34737666250868904,0.4,0.32653752292538457,0.336605466527251,0.3062120227465537,0.9333333333333333
lightgbm,1,25.0,validation,24,-0.08459062675760132,0.08698189041321247,-0.04322971762162331,0.04258423660307309,-0.0858139542246964,2.037953493731294,0.5742009739710339,-0.9409723480107599,-0.08239866000360974,0.375,0.5599772455112884,8.668565967056823,1.1258595162262357,0.5833333333333334
lightgbm,1,25.0,holdout,30,-0.9770457027520159,-0.1348255975549968,-0.7790237493658956,-0.05628368183725396,-0.7227400675286416,1.5743455114375793,-0.2579142582620859,-0.9966456128738194,-0.34737666250868904,0.3333333333333333,-0.23902521129528445,1.7956776443909002,-0.29048750614381225,0.9666666666666667
ensemble,1,25.0,validation,24,-0.9275717365130757,0.08698189041321247,-0.7308750039722725,0.04258423660307309,-0.7734592405753455,0.8771863144872566,-0.9014718509706986,-0.9190221209294092,-0.08239866000360974,0.375,-0.935425166420625,-1.5346711322264313,-0.5247841587543203,0.9583333333333334
ensemble,1,25.0,holdout,30,-0.685993467021118,-0.1348255975549968,-0.37081918228656274,-0.05628368183725396,-0.3145355004493088,0.8696764997849596,-0.1325179944140361,-0.8514077924283951,-0.34737666250868904,0.4,-0.09189384283287955,1.0547171795103187,-0.07290950507810912,0.8333333333333334
ensemble_volmanaged,1,25.0,validation,24,-0.9275717365130757,0.08698189041321247,-0.7308750039722725,0.04258423660307309,-0.7734592405753455,0.8771863144872566,-0.9014718509706986,-0.9190221209294092,-0.08239866000360974,0.375,-0.935425166420625,-1.5346711322264313,-0.5247841587543203,0.9583333333333334
ensemble_volmanaged,1,25.0,holdout,30,-0.5624004805450249,-0.1348255975549968,-0.2814934450529122,-0.05628368183725396,-0.22520976321565822,0.6922559449578503,-0.14068768916484242,-0.7796874507616959,-0.34737666250868904,0.36666666666666664,-0.08855354115915955,0.8128649589066104,-0.06472845036215569,0.7016079075687441
