signal_date,eligible_context_tickers,context_months,individual_forecasts,cross_forecasts,status
2019-01-31,220,48,220,220,ok
2019-02-28,219,48,219,219,ok
2019-03-31,217,48,217,217,ok
2019-04-30,217,48,217,217,ok
2019-05-31,220,48,220,220,ok
2019-06-30,221,48,221,221,ok
2019-07-31,218,48,218,218,ok
2019-08-31,212,48,212,212,ok
2019-09-30,205,48,205,205,ok
2019-10-31,206,48,206,206,ok
2019-11-30,204,48,204,204,ok
2019-12-31,206,48,206,206,ok
2020-01-31,202,48,202,202,ok
2020-02-29,206,48,206,206,ok
2020-03-31,204,48,204,204,ok
2020-04-30,205,48,205,205,ok
2020-05-31,209,48,209,209,ok
2020-06-30,213,48,213,213,ok
2020-07-31,207,48,207,207,ok
2020-08-31,210,48,210,210,ok
2020-09-30,209,48,209,209,ok
2020-10-31,209,48,209,209,ok
2020-11-30,209,48,209,209,ok
2020-12-31,210,48,210,210,ok
2021-01-31,214,48,214,214,ok
2021-02-28,211,48,211,211,ok
2021-03-31,206,48,206,206,ok
2021-04-30,211,48,211,211,ok
2021-05-31,213,48,213,213,ok
2021-06-30,219,48,219,219,ok
2021-07-31,217,48,217,217,ok
2021-08-31,215,48,215,215,ok
2021-09-30,212,48,212,212,ok
2021-10-31,215,48,215,215,ok
2021-11-30,214,48,214,214,ok
2021-12-31,216,48,216,216,ok
2022-01-31,210,48,210,210,ok
2022-02-28,211,48,211,211,ok
2022-03-31,212,48,212,212,ok
2022-04-30,219,48,219,219,ok
2022-05-31,219,48,219,219,ok
2022-06-30,218,48,218,218,ok
2022-07-31,221,48,221,221,ok
2022-08-31,223,48,223,223,ok
2022-09-30,217,48,217,217,ok
2022-10-31,216,48,216,216,ok
2022-11-30,223,48,223,223,ok
2022-12-31,227,48,227,227,ok
2023-01-31,216,48,216,216,ok
2023-02-28,214,48,214,214,ok
2023-03-31,215,48,215,215,ok
2023-04-30,213,48,213,213,ok
2023-05-31,208,48,208,208,ok
2023-06-30,207,48,207,207,ok
2023-07-31,209,48,209,209,ok
2023-08-31,209,48,209,209,ok
2023-09-30,208,48,208,208,ok
2023-10-31,207,48,207,207,ok
2023-11-30,210,48,210,210,ok
2023-12-31,209,48,209,209,ok
2024-01-31,210,48,210,210,ok
2024-02-29,211,48,211,211,ok
2024-03-31,211,48,211,211,ok
2024-04-30,204,48,204,204,ok
2024-05-31,202,48,202,202,ok
2024-06-30,198,48,198,198,ok
2024-07-31,202,48,202,202,ok
2024-08-31,205,48,205,205,ok
2024-09-30,208,48,208,208,ok
2024-10-31,207,48,207,207,ok
2024-11-30,209,48,209,209,ok
2024-12-31,208,48,208,208,ok
2025-01-31,210,48,210,210,ok
2025-02-28,211,48,211,211,ok
2025-03-31,208,48,208,208,ok
2025-04-30,210,48,210,210,ok
2025-05-31,215,48,215,215,ok
2025-06-30,215,48,215,215,ok
2025-07-31,218,48,218,218,ok
2025-08-31,217,48,217,217,ok
2025-09-30,210,48,210,210,ok
2025-10-31,213,48,213,213,ok
2025-11-30,219,48,219,219,ok
2025-12-31,223,48,223,223,ok
2026-01-31,219,48,219,219,ok
2026-02-28,225,48,225,225,ok
2026-03-31,227,48,227,227,ok
2026-04-30,227,48,227,227,ok
2026-05-31,230,48,230,230,ok
2026-06-30,234,48,234,234,ok
