model,top_k,cost_bps,period,months,strategy_total_return,benchmark_total_return,strategy_cagr,benchmark_cagr,excess_cagr,strategy_volatility,strategy_sharpe_rf0,strategy_max_drawdown,benchmark_max_drawdown,active_hit_rate,information_ratio,beta_to_benchmark,annualized_alpha_rf0,average_monthly_turnover
cap500_composite,1,25.0,validation,24,0.21862607396634592,0.08698189041321247,0.10391397942337233,0.04258423660307309,0.06132974282029924,1.1776273960720798,0.49248072683821253,-0.5791164939144314,-0.08239866000360974,0.4166666666666667,0.44328982540090567,-4.272581227644249,1.1152981432114784,0.7083333333333334
cap500_composite,1,25.0,holdout_2024,12,0.742906504201049,-0.013699490369203038,0.742906504201049,-0.013699490369203038,0.756605994570252,0.4196048442660687,1.5343581903932755,-0.10887541472981521,-0.07702368625268208,0.6666666666666666,1.422506810840284,-1.0913923050770495,0.855254898890335,0.5
cap500_composite,1,25.0,holdout_2025_2026,18,0.504891854516488,-0.12280852134116271,0.3132181031881289,-0.08364672551481533,0.39686482870294426,1.7318089367696021,0.8449256660812525,-0.7107771082151437,-0.34737666250868915,0.5,0.9116609562104575,2.2790302177456776,3.463360933633693,0.7222222222222222
cap150_lower10,1,25.0,validation,24,-0.5263383343526838,0.08698189041321247,-0.3117691770580773,0.04258423660307309,-0.35435341366115036,0.27682082763682914,-1.1792608414569299,-0.5712111667844508,-0.08239866000360974,0.3333333333333333,-1.409053045040185,0.9924572652018159,-0.31419933749634255,0.7916666666666666
cap150_lower10,1,25.0,holdout_2024,12,0.0043659251827474765,-0.013699490369203038,0.0043659251827474765,-0.013699490369203038,0.018065415551950514,0.49824438192530757,0.26470041806128336,-0.3279437869822486,-0.07702368625268208,0.6666666666666666,0.2777862667444607,0.11772984265314117,0.14132676933157473,0.9166666666666666
cap150_lower10,1,25.0,holdout_2025_2026,18,0.12609297219105509,-0.12280852134116271,0.08238765930364589,-0.08364672551481533,0.16603438481846122,0.30814891175721365,0.3886726852824202,-0.09115858774894037,-0.34737666250868915,0.4444444444444444,0.42121075695361593,-0.16095661882444742,0.11637756688524625,0.6111111111111112
cap300_lower10,1,25.0,validation,24,0.24831982797042773,0.08698189041321247,0.11728234031082208,0.04258423660307309,0.07469810370774899,0.14836593065551082,0.8187332302227535,-0.039677569376531774,-0.08239866000360974,0.5416666666666666,0.5216574470354587,0.5442355520781824,0.10129196696152976,0.875
cap300_lower10,1,25.0,holdout_2024,12,-0.022685283589086724,-0.013699490369203038,-0.022685283589086724,-0.013699490369203038,-0.008985793219883687,0.08086838088703324,-0.24734039045499068,-0.044866360554873363,-0.07702368625268208,0.4166666666666667,-0.06786155249729686,-0.4561882015761495,-0.023756473011799284,0.9166666666666666
cap300_lower10,1,25.0,holdout_2025_2026,18,2.60213066273619,-0.12280852134116271,1.3498473002590305,-0.08364672551481533,1.4334940257738458,0.5429312993533033,1.8251683608791918,-0.0234424310525968,-0.34737666250868915,0.6666666666666666,1.684356670312877,-0.2517889158077744,1.5571274461292686,0.7777777777777778
cap500_lower10,1,25.0,validation,24,-0.1174693964696698,0.08698189041321247,-0.060569000122771,0.04258423660307309,-0.10315323672584409,0.047584325104853456,-1.2857524094808017,-0.05189192100591211,-0.08239866000360974,0.4583333333333333,-0.9822028662260857,-0.15998723635990467,-0.05263606341492266,0.7916666666666666
cap500_lower10,1,25.0,holdout_2024,12,1.054280800061349,-0.013699490369203038,1.054280800061349,-0.013699490369203038,1.067980290430552,1.130565553224444,1.0103044900124762,-0.21678571428571436,-0.07702368625268208,0.5833333333333334,0.9825023342631535,-3.859190959630577,1.8863865413778278,0.9166666666666666
cap500_lower10,1,25.0,holdout_2025_2026,18,-0.3549978343555976,-0.12280852134116271,-0.2534811439678486,-0.08364672551481533,-0.16983441845303326,0.29746185040568696,-0.8076730623133366,-0.4700048046319213,-0.34737666250868915,0.5,-0.6325295624758229,0.5370063540530454,-0.19063009943376008,0.8888888888888888
chronos2_cross_cap_rank_ensemble,1,25.0,validation,24,-0.1174693964696698,0.08698189041321247,-0.060569000122771,0.04258423660307309,-0.10315323672584409,0.047584325104853456,-1.2857524094808017,-0.05189192100591211,-0.08239866000360974,0.4583333333333333,-0.9822028662260857,-0.15998723635990467,-0.05263606341492266,0.7916666666666666
chronos2_cross_cap_rank_ensemble,1,25.0,holdout_2024,12,1.054280800061349,-0.013699490369203038,1.054280800061349,-0.013699490369203038,1.067980290430552,1.130565553224444,1.0103044900124762,-0.21678571428571436,-0.07702368625268208,0.5833333333333334,0.9825023342631535,-3.859190959630577,1.8863865413778278,0.9166666666666666
chronos2_cross_cap_rank_ensemble,1,25.0,holdout_2025_2026,18,-0.3315453283387765,-0.12280852134116271,-0.2354932776511487,-0.08364672551481533,-0.15184655213633336,0.3004291568383423,-0.7192121150689758,-0.45073399257838653,-0.34737666250868915,0.5,-0.5382477242053831,0.5236822750107856,-0.17112521896398547,0.8888888888888888
cap500_composite,1,100.0,validation,24,0.06690939846102406,0.08698189041321247,0.032913064328757624,0.04258423660307309,-0.009671172274315465,1.179658589871289,0.4375916899977749,-0.5907395161740443,-0.08239866000360974,0.4166666666666667,0.38984285289392206,-4.251973574457208,0.9902787655994283,0.7083333333333334
cap500_composite,1,100.0,holdout_2024,12,0.6720900774546161,-0.013699490369203038,0.6720900774546161,-0.013699490369203038,0.6857895678238192,0.4142779424191142,1.4454646704856966,-0.10887541472981521,-0.07702368625268208,0.6666666666666666,1.3407873411093665,-1.0606541314182452,0.7779530296991746,0.5
cap500_composite,1,100.0,holdout_2025_2026,18,0.33835422221581357,-0.12280852134116271,0.21445300992041805,-0.08364672551481533,0.2980997354352334,1.736178131371236,0.805360806106446,-0.7258318886294688,-0.34737666250868915,0.5,0.8706980740826109,2.299129968225951,3.218158386877284,0.7222222222222222
cap150_lower10,1,100.0,validation,24,-0.5910545342142093,0.08698189041321247,-0.3605115593024447,0.04258423660307309,-0.4030957959055178,0.2747649375938582,-1.4473970573336372,-0.6101341381232859,-0.08239866000360974,0.2916666666666667,-1.688146847247473,0.964720280836713,-0.36212810795251826,0.7916666666666666
cap150_lower10,1,100.0,holdout_2024,12,-0.07506870378703001,-0.013699490369203038,-0.07506870378703001,-0.013699490369203038,-0.06136921341782697,0.4953875527876724,0.09969062790215417,-0.3354437869822485,-0.07702368625268208,0.5833333333333334,0.11551103445305157,0.11261578727076338,0.05155679061124929,0.9166666666666666
cap150_lower10,1,100.0,holdout_2025_2026,18,0.03523001910763046,-0.12280852134116271,0.023350889321724466,-0.08364672551481533,0.1069976148365398,0.31253882023413954,0.2072352642497653,-0.11211177616117152,-0.34737666250868915,0.3888888888888889,0.2876515416191692,-0.16378806675499274,0.05686464228475363,0.6111111111111112
cap300_lower10,1,100.0,validation,24,0.06721646439575113,0.08698189041321247,0.03306169438022977,0.04258423660307309,-0.009522542222843322,0.14844760986936195,0.2877925599353746,-0.0822151253443425,-0.08239866000360974,0.4583333333333333,-0.01690175029579909,0.5384769242827182,0.018538900784245804,0.875
cap300_lower10,1,100.0,holdout_2024,12,-0.10053290192545694,-0.013699490369203038,-0.10053290192545694,-0.013699490369203038,-0.0868334115562539,0.08138317089476625,-1.2594989329747728,-0.09421301885027078,-0.07702368625268208,0.25,-0.5640216374637345,-0.4697182329661305,-0.10157758769134428,0.9166666666666666
cap300_lower10,1,100.0,holdout_2025_2026,18,2.2665227846707254,-0.12280852134116271,1.2015258768896988,-0.08364672551481533,1.285172602404514,0.5410424089954277,1.7021605227224643,-0.030942431052596864,-0.34737666250868915,0.6111111111111112,1.575672901646122,-0.25316534003339414,1.3962485963679505,0.7777777777777778
cap500_lower10,1,100.0,validation,24,-0.23578143107785332,0.08698189041321247,-0.12580404432292946,0.04258423660307309,-0.16838828092600255,0.050157692900565966,-2.6403060627134387,-0.1723264596511047,-0.08239866000360974,0.375,-1.6113068572451306,-0.17188390228055322,-0.11778072394889694,0.7916666666666666
cap500_lower10,1,100.0,holdout_2024,12,0.8967823159159638,-0.013699490369203038,0.8967823159159638,-0.013699490369203038,0.9104818062851668,1.1300462053986386,0.9377629424473544,-0.2338150659340661,-0.07702368625268208,0.4166666666666667,0.9124978930556333,-3.855505583975161,1.6758619589953199,0.9166666666666666
cap500_lower10,1,100.0,holdout_2025_2026,18,-0.43076798490084944,-0.12280852134116271,-0.313153728097082,-0.08364672551481533,-0.22950700258226664,0.29951819033101995,-1.0692236197227902,-0.4999485960695542,-0.34737666250868915,0.4444444444444444,-0.9112376083685432,0.5508750362777544,-0.2535221075081415,0.8888888888888888
chronos2_cross_cap_rank_ensemble,1,100.0,validation,24,-0.23578143107785332,0.08698189041321247,-0.12580404432292946,0.04258423660307309,-0.16838828092600255,0.050157692900565966,-2.6403060627134387,-0.1723264596511047,-0.08239866000360974,0.375,-1.6113068572451306,-0.17188390228055322,-0.11778072394889694,0.7916666666666666
chronos2_cross_cap_rank_ensemble,1,100.0,holdout_2024,12,0.8967823159159638,-0.013699490369203038,0.8967823159159638,-0.013699490369203038,0.9104818062851668,1.1300462053986386,0.9377629424473544,-0.2338150659340661,-0.07702368625268208,0.4166666666666667,0.9124978930556333,-3.855505583975161,1.6758619589953199,0.9166666666666666
chronos2_cross_cap_rank_ensemble,1,100.0,holdout_2025_2026,18,-0.4099137091908558,-0.12280852134116271,-0.29647907925282646,-0.08364672551481533,-0.21283235373801113,0.3023947787711829,-0.9790919357841366,-0.4816288080567199,-0.34737666250868915,0.4444444444444444,-0.811337932862098,0.5375509572354944,-0.2354098381538764,0.8888888888888888
cap500_composite,3,25.0,validation,24,0.49186459055114407,0.08698189041321247,0.2214190888270675,0.04258423660307309,0.17883485222399442,0.5342263486180762,0.6285402205208803,-0.37760286481893424,-0.08239866000360974,0.5,0.542929190404986,0.42637259965073626,0.3667132262495596,0.6527777777777778
cap500_composite,3,25.0,holdout_2024,12,0.18024649348889632,-0.013699490369203038,0.18024649348889632,-0.013699490369203038,0.19394598385809936,0.34402284644219555,0.6405827943188983,-0.1605050518914155,-0.07702368625268208,0.5,0.6979825830309443,0.9873069211172075,0.25471725687296276,0.5555555555555556
