signal_date,eligible_tickers,absolute_context_tickers,normalized_context_tickers,absolute_forecasts,normalized_forecasts,status
2019-01-31,500,456,456,456,456,ok
2019-02-28,500,454,454,454,454,ok
2019-03-31,500,450,450,450,450,ok
2019-04-30,500,453,453,453,453,ok
2019-05-31,500,460,460,460,460,ok
2019-06-30,500,461,461,461,461,ok
2019-07-31,500,467,467,467,467,ok
2019-08-31,500,459,459,459,459,ok
2019-09-30,500,456,456,456,456,ok
2019-10-31,500,462,462,462,462,ok
2019-11-30,500,460,460,460,460,ok
2019-12-31,500,462,462,462,462,ok
2020-01-31,500,460,460,460,460,ok
2020-02-29,500,455,455,455,455,ok
2020-03-31,500,450,450,450,450,ok
2020-04-30,500,446,446,446,446,ok
2020-05-31,500,445,445,445,445,ok
2020-06-30,500,443,443,443,443,ok
2020-07-31,500,454,454,454,454,ok
2020-08-31,500,454,454,454,454,ok
2020-09-30,500,453,453,453,453,ok
2020-10-31,500,454,454,454,454,ok
2020-11-30,500,449,449,449,449,ok
2020-12-31,500,455,455,455,455,ok
2021-01-31,500,461,461,461,461,ok
2021-02-28,500,463,463,463,463,ok
2021-03-31,500,468,468,468,468,ok
2021-04-30,500,473,473,473,473,ok
2021-05-31,500,471,471,471,471,ok
2021-06-30,500,469,469,469,469,ok
2021-07-31,500,469,469,469,469,ok
2021-08-31,500,465,465,465,465,ok
2021-09-30,500,467,467,467,467,ok
2021-10-31,500,467,467,467,467,ok
2021-11-30,500,459,459,459,459,ok
2021-12-31,500,461,461,461,461,ok
2022-01-31,500,460,460,460,460,ok
2022-02-28,500,456,456,456,456,ok
2022-03-31,500,452,452,452,452,ok
2022-04-30,500,455,455,455,455,ok
2022-05-31,500,454,454,454,454,ok
2022-06-30,500,452,452,452,452,ok
2022-07-31,500,453,453,453,453,ok
2022-08-31,500,458,458,458,458,ok
2022-09-30,500,452,452,452,452,ok
2022-10-31,500,443,443,443,443,ok
2022-11-30,500,444,444,444,444,ok
2022-12-31,500,459,459,459,459,ok
2023-01-31,500,450,450,450,450,ok
2023-02-28,500,450,450,450,450,ok
2023-03-31,500,445,445,445,445,ok
2023-04-30,500,441,441,441,441,ok
2023-05-31,500,434,434,434,434,ok
2023-06-30,500,432,432,432,432,ok
2023-07-31,500,432,432,432,432,ok
2023-08-31,500,448,448,448,448,ok
2023-09-30,500,444,444,444,444,ok
2023-10-31,500,435,435,435,435,ok
2023-11-30,500,437,437,437,437,ok
2023-12-31,500,433,433,433,433,ok
2024-01-31,500,437,437,437,437,ok
2024-02-29,500,443,443,443,443,ok
2024-03-31,500,442,442,442,442,ok
2024-04-30,500,439,439,439,439,ok
2024-05-31,500,445,445,445,445,ok
2024-06-30,500,449,449,449,449,ok
2024-07-31,500,452,452,452,452,ok
2024-08-31,500,455,455,455,455,ok
2024-09-30,500,460,460,460,460,ok
2024-10-31,500,463,463,463,463,ok
2024-11-30,500,465,465,465,465,ok
2024-12-31,500,468,468,468,468,ok
2025-01-31,500,467,467,467,467,ok
2025-02-28,500,473,473,473,473,ok
2025-03-31,500,473,473,473,473,ok
2025-04-30,500,473,473,473,473,ok
2025-05-31,500,474,474,474,474,ok
2025-06-30,500,471,471,471,471,ok
2025-07-31,500,473,473,473,473,ok
2025-08-31,500,480,480,480,480,ok
2025-09-30,500,474,474,474,474,ok
2025-10-31,500,475,475,475,475,ok
2025-11-30,500,475,475,475,475,ok
2025-12-31,500,479,479,479,479,ok
2026-01-31,500,483,483,483,483,ok
2026-02-28,500,486,486,486,486,ok
2026-03-31,500,486,486,486,486,ok
2026-04-30,500,488,488,488,488,ok
2026-05-31,500,490,490,490,490,ok
2026-06-30,500,490,490,490,490,ok
