model,top_k,cost_bps,period,months,strategy_total_return,benchmark_total_return,strategy_cagr,benchmark_cagr,excess_cagr,strategy_volatility,strategy_sharpe_rf0,strategy_max_drawdown,benchmark_max_drawdown,active_hit_rate,information_ratio,beta_to_benchmark,annualized_alpha_rf0,average_monthly_turnover
cap300_composite,1,25.0,validation,24,-0.10167586643681847,0.08698189041321247,-0.052200372671954764,0.04258423660307309,-0.09478460927502785,1.1379034033732307,0.36301209094730746,-0.5394250108929588,-0.08239866000360974,0.4583333333333333,0.3210548082265026,-0.761523699484859,0.5517002173596612,0.9166666666666666
cap300_composite,1,25.0,holdout_2024,12,1.991540606405163,-0.013699490369203038,1.991540606405163,-0.013699490369203038,2.005240096774366,0.6490105642638929,2.0259246760401504,-0.11382113821138207,-0.07702368625268208,0.6666666666666666,1.9601570966610333,-1.1083993951815079,2.4517340758970767,0.5
cap300_composite,1,25.0,holdout_2025_2026,18,-0.5144682725524825,-0.12280852134116271,-0.3822514381901202,-0.08364672551481533,-0.29860471267530486,1.301105872264113,0.1919726186265019,-0.8119949297415009,-0.34737666250868915,0.4444444444444444,0.24877605475147527,1.9033332275950194,0.42334509358127614,0.7222222222222222
cap300_rank_ridge,1,25.0,validation,24,0.22465835532487444,0.08698189041321247,0.10664283096438765,0.04258423660307309,0.06405859436131456,0.2874414044248977,0.48902408150520715,-0.24610552447572032,-0.08239866000360974,0.4166666666666667,0.35129078776291167,1.12220119777193,0.09363625238365181,0.7083333333333334
cap300_rank_ridge,1,25.0,holdout_2024,12,0.2980834798639638,-0.013699490369203038,0.2980834798639638,-0.013699490369203038,0.3117829702331668,0.23952469398058382,1.2006397967295293,-0.053261393038711136,-0.07702368625268208,0.5,1.1542112784329246,0.10382587221433569,0.32987348228757907,0.8333333333333334
cap300_rank_ridge,1,25.0,holdout_2025_2026,18,0.05307349508864778,-0.12280852134116271,0.03507651454475824,-0.08364672551481533,0.11872324005957358,0.39208283303134656,0.25578155053615936,-0.2929931385278689,-0.34737666250868915,0.4444444444444444,0.3936546855653235,0.45192354792738765,0.13358670631216807,0.8888888888888888
chronos2_daily_abs_individual_median,1,25.0,validation,24,-0.7306420795254346,0.08698189041321247,-0.48100296679598886,0.04258423660307309,-0.523587203399062,0.5822123061370097,-0.7786489233000319,-0.844658390716546,-0.08239866000360974,0.375,-0.8399056732221656,-0.4306029943240851,-0.3571950603905234,0.7916666666666666
chronos2_daily_abs_individual_median,1,25.0,holdout_2024,12,0.4783279124303892,-0.013699490369203038,0.4783279124303892,-0.013699490369203038,0.49202740279959223,0.9757240564547984,0.8743690574634342,-0.5694670608753138,-0.07702368625268208,0.5833333333333334,0.9344268984567775,5.176774036948947,1.3789645886116215,1.0
chronos2_daily_abs_individual_median,1,25.0,holdout_2025_2026,18,2.264830089623434,-0.12280852134116271,1.200765265048242,-0.08364672551481533,1.2844119905630573,1.6078126902108276,1.0502317348689731,-0.47188775510204084,-0.34737666250868915,0.5555555555555556,1.153959081379958,2.9178646790100435,4.611202701998016,1.0
chronos2_daily_abs_cross_median,1,25.0,validation,24,-0.8529974966897769,0.08698189041321247,-0.616590945190097,0.04258423660307309,-0.6591751817931701,0.8494876150412938,-0.6451061727984225,-0.8864591968708646,-0.08239866000360974,0.4583333333333333,-0.6822046204857878,-1.9041152207506709,-0.375666720192132,0.875
