signal_date,eligible_tickers,absolute_context_tickers,normalized_context_tickers,absolute_forecasts,normalized_forecasts,status
2019-01-31,300,282,282,282,282,ok
2019-02-28,300,281,281,281,281,ok
2019-03-31,300,282,282,282,282,ok
2019-04-30,300,287,287,287,287,ok
2019-05-31,300,291,291,291,291,ok
2019-06-30,300,292,292,292,292,ok
2019-07-31,300,295,295,295,295,ok
2019-08-31,300,285,285,285,285,ok
2019-09-30,300,278,278,278,278,ok
2019-10-31,300,280,280,280,280,ok
2019-11-30,300,277,277,277,277,ok
2019-12-31,300,282,282,282,282,ok
2020-01-31,300,287,287,287,287,ok
2020-02-29,300,283,283,283,283,ok
2020-03-31,300,281,281,281,281,ok
2020-04-30,300,278,278,278,278,ok
2020-05-31,300,278,278,278,278,ok
2020-06-30,300,280,280,280,280,ok
2020-07-31,300,284,284,284,284,ok
2020-08-31,300,291,291,291,291,ok
2020-09-30,300,290,290,290,290,ok
2020-10-31,300,291,291,291,291,ok
2020-11-30,300,290,290,290,290,ok
2020-12-31,300,290,290,290,290,ok
2021-01-31,300,296,296,296,296,ok
2021-02-28,300,294,294,294,294,ok
2021-03-31,300,292,292,292,292,ok
2021-04-30,300,291,291,291,291,ok
2021-05-31,300,288,288,288,288,ok
2021-06-30,300,288,288,288,288,ok
2021-07-31,300,288,288,288,288,ok
2021-08-31,300,288,288,288,288,ok
2021-09-30,300,286,286,286,286,ok
2021-10-31,300,289,289,289,289,ok
2021-11-30,300,286,286,286,286,ok
2021-12-31,300,289,289,289,289,ok
2022-01-31,300,287,287,287,287,ok
2022-02-28,300,282,282,282,282,ok
2022-03-31,300,282,282,282,282,ok
2022-04-30,300,280,280,280,280,ok
2022-05-31,300,278,278,278,278,ok
2022-06-30,300,281,281,281,281,ok
2022-07-31,300,286,286,286,286,ok
2022-08-31,300,290,290,290,290,ok
2022-09-30,300,280,280,280,280,ok
2022-10-31,300,282,282,282,282,ok
2022-11-30,300,284,284,284,284,ok
2022-12-31,300,283,283,283,283,ok
2023-01-31,300,279,279,279,279,ok
2023-02-28,300,287,287,287,287,ok
2023-03-31,300,281,281,281,281,ok
2023-04-30,300,274,274,274,274,ok
2023-05-31,300,275,275,275,275,ok
2023-06-30,300,271,271,271,271,ok
2023-07-31,300,272,272,272,272,ok
2023-08-31,300,277,277,277,277,ok
2023-09-30,300,278,278,278,278,ok
2023-10-31,300,273,273,273,273,ok
2023-11-30,300,284,284,284,284,ok
2023-12-31,300,282,282,282,282,ok
2024-01-31,300,284,284,284,284,ok
2024-02-29,300,288,288,288,288,ok
2024-03-31,300,283,283,283,283,ok
2024-04-30,300,278,278,278,278,ok
2024-05-31,300,282,282,282,282,ok
2024-06-30,300,281,281,281,281,ok
2024-07-31,300,283,283,283,283,ok
2024-08-31,300,289,289,289,289,ok
2024-09-30,300,290,290,290,290,ok
2024-10-31,300,292,292,292,292,ok
2024-11-30,300,293,293,293,293,ok
2024-12-31,300,291,291,291,291,ok
2025-01-31,300,293,293,293,293,ok
2025-02-28,300,293,293,293,293,ok
2025-03-31,300,288,288,288,288,ok
2025-04-30,300,289,289,289,289,ok
2025-05-31,300,288,288,288,288,ok
2025-06-30,300,289,289,289,289,ok
2025-07-31,300,292,292,292,292,ok
2025-08-31,300,296,296,296,296,ok
2025-09-30,300,289,289,289,289,ok
2025-10-31,300,295,295,295,295,ok
2025-11-30,300,297,297,297,297,ok
2025-12-31,300,297,297,297,297,ok
2026-01-31,300,298,298,298,298,ok
2026-02-28,300,296,296,296,296,ok
2026-03-31,300,296,296,296,296,ok
2026-04-30,300,298,298,298,298,ok
2026-05-31,300,298,298,298,298,ok
2026-06-30,300,298,298,298,298,ok
