model,top_k,cost_bps,period,months,strategy_total_return,benchmark_total_return,strategy_cagr,benchmark_cagr,excess_cagr,strategy_volatility,strategy_sharpe_rf0,strategy_max_drawdown,benchmark_max_drawdown,active_hit_rate,information_ratio,beta_to_benchmark,annualized_alpha_rf0,average_monthly_turnover
cap300_composite,1,25.0,validation,24,-0.24503259143181744,0.08698189041321247,-0.1311113946148318,0.04258423660307309,-0.17369563121790488,1.1968855752505703,0.30156804569209184,-0.5791164939144315,-0.08239866000360974,0.375,0.2603236096364669,-2.1881812330970227,0.5702819643060193,0.7916666666666666
cap300_composite,1,25.0,holdout_2024,12,1.234586762228631,-0.013699490369203038,1.234586762228631,-0.013699490369203038,1.248286252597834,0.5626514712010119,1.7026884258891273,-0.10887541472981521,-0.07702368625268208,0.6666666666666666,1.6394096311120643,-0.9433531038425382,1.4942892820903828,0.6666666666666666
cap300_composite,1,25.0,holdout_2025_2026,18,-0.513073538257168,-0.12280852134116271,-0.381068977696704,-0.08364672551481533,-0.29742225218188867,1.3007448083219324,0.19302467662857822,-0.8119949233965813,-0.34737666250868915,0.4444444444444444,0.24992156015833453,1.9047940362986016,0.42525686273826957,0.7222222222222222
cap300_rank_ridge,1,25.0,validation,24,0.09870396073159582,0.08698189041321247,0.04819080359045125,0.04258423660307309,0.005606566987378159,0.33244147147217,0.3073194203559282,-0.3012757476243543,-0.08239866000360974,0.4166666666666667,0.167638482142708,0.15437921657142384,0.09945247675695756,0.8333333333333334
cap300_rank_ridge,1,25.0,holdout_2024,12,0.5850567540412976,-0.013699490369203038,0.5850567540412976,-0.013699490369203038,0.5987562444105007,0.28751482424374397,1.7540766368143752,-0.04621848739495793,-0.07702368625268208,0.5833333333333334,1.8032594700125475,0.5782535305446748,0.646906986605289,0.6666666666666666
cap300_rank_ridge,1,25.0,holdout_2025_2026,18,0.6232769092555732,-0.12280852134116271,0.38121644545973177,-0.08364672551481533,0.4648631709745471,0.40328569736779507,0.9755035673307859,-0.14621252514940886,-0.34737666250868915,0.5555555555555556,1.057141512544136,0.3462056595643661,0.5010806519923532,0.8333333333333334
chronos2_daily_abs_individual_median,1,25.0,validation,24,-0.44601284176435474,0.08698189041321247,-0.2556968640159809,0.04258423660307309,-0.298281100619054,0.7338191295003362,-0.04381926005396256,-0.6805096332704809,-0.08239866000360974,0.4583333333333333,-0.10329895929235894,-1.0532273730510604,0.01555984089829332,0.8333333333333334
chronos2_daily_abs_individual_median,1,25.0,holdout_2024,12,0.4783279329582393,-0.013699490369203038,0.4783279329582393,-0.013699490369203038,0.4920274233274423,0.9757240660847498,0.8743690705499577,-0.5694670587319368,-0.07702368625268208,0.5833333333333334,0.9344269108112494,5.176774011896453,1.3789646350189675,1.0
chronos2_daily_abs_individual_median,1,25.0,holdout_2025_2026,18,4.527930133237343,-0.12280852134116271,2.1263795187721457,-0.08364672551481533,2.210026244286961,1.7501784839490875,1.2727975181850422,-0.47188775510204084,-0.34737666250868915,0.5555555555555556,1.3920342219064,3.509976363755546,8.123854892141031,0.9444444444444444
chronos2_daily_abs_cross_median,1,25.0,validation,24,-0.776894895415717,0.08698189041321247,-0.5276599693184125,0.04258423660307309,-0.5702442059214856,0.9389071028518983,-0.3166792426193133,-0.853583866053803,-0.08239866000360974,0.5,-0.35841984568309915,-1.7144522069683317,-0.19898742812135928,0.9166666666666666
