signal_date,eligible_tickers,context_tickers,forecast_tickers,status
2022-01-31,300,272,272,ok
2022-02-28,300,270,270,ok
2022-03-31,300,266,266,ok
2022-04-30,300,269,269,ok
2022-05-31,300,268,268,ok
2022-06-30,300,265,265,ok
2022-07-31,300,269,269,ok
2022-08-31,300,272,272,ok
2022-09-30,300,265,265,ok
2022-10-31,300,261,261,ok
2022-11-30,300,263,263,ok
2022-12-31,300,271,271,ok
2023-01-31,300,262,262,ok
2023-02-28,300,266,266,ok
2023-03-31,300,261,261,ok
2023-04-30,300,257,257,ok
2023-05-31,300,256,256,ok
2023-06-30,300,253,253,ok
2023-07-31,300,253,253,ok
2023-08-31,300,262,262,ok
2023-09-30,300,257,257,ok
2023-10-31,300,257,257,ok
2023-11-30,300,261,261,ok
2023-12-31,300,257,257,ok
2024-01-31,300,259,259,ok
2024-02-29,300,261,261,ok
2024-03-31,300,258,258,ok
2024-04-30,300,255,255,ok
2024-05-31,300,260,260,ok
2024-06-30,300,261,261,ok
2024-07-31,300,262,262,ok
2024-08-31,300,265,265,ok
2024-09-30,300,273,273,ok
2024-10-31,300,276,276,ok
2024-11-30,300,276,276,ok
2024-12-31,300,279,279,ok
2025-01-31,300,279,279,ok
2025-02-28,300,280,280,ok
2025-03-31,300,280,280,ok
2025-04-30,300,281,281,ok
2025-05-31,300,282,282,ok
2025-06-30,300,281,281,ok
2025-07-31,300,284,284,ok
2025-08-31,300,285,285,ok
2025-09-30,300,280,280,ok
2025-10-31,300,286,286,ok
2025-11-30,300,289,289,ok
2025-12-31,300,291,291,ok
2026-01-31,300,291,291,ok
2026-02-28,300,293,293,ok
2026-03-31,300,292,292,ok
2026-04-30,300,293,293,ok
2026-05-31,300,294,294,ok
2026-06-30,300,293,293,ok
2026-07-31,300,296,296,ok
