ticker,observations,last_observation
AALI,1753,2021-12-30
ABBA,1753,2021-12-30
ABDA,1753,2021-12-30
ABMM,1753,2021-12-30
ACES,1752,2021-12-30
ACST,1753,2021-12-30
ADES,1753,2021-12-30
ADHI,1753,2021-12-30
ADMF,1753,2021-12-30
ADMG,1753,2021-12-30
ADRO,1752,2021-12-30
AGAR,508,2021-12-30
AGII,1326,2021-12-30
AGRO,1753,2021-12-30
AGRS,1745,2021-12-30
AHAP,1753,2021-12-30
AIMS,1753,2021-12-30
AISA,1753,2021-12-30
AKKU,1753,2021-12-30
AKPI,1753,2021-12-30
AKRA,1753,2021-12-30
AKSI,1753,2021-12-30
ALDO,1753,2021-12-30
ALKA,1753,2021-12-30
ALMI,1753,2021-12-30
ALTO,1752,2021-12-30
AMAG,1752,2021-12-30
AMAN,438,2021-12-30
AMAR,484,2021-12-30
AMFG,1753,2021-12-30
AMIN,1512,2021-12-30
AMRT,1753,2021-12-30
ANDI,843,2021-12-30
ANJT,1744,2021-12-30
ANTM,1753,2021-12-30
APEX,1753,2021-12-30
APIC,1753,2021-12-30
APII,1746,2021-12-30
APLI,1753,2021-12-30
APLN,1753,2021-12-30
ARGO,1753,2021-12-30
ARII,1752,2021-12-30
ARKA,611,2021-12-30
ARNA,1752,2021-12-30
ARTA,1752,2021-12-30
ARTI,1752,2021-12-30
ARTO,1494,2021-12-30
ASBI,1753,2021-12-30
ASDM,1753,2021-12-30
ASGR,1752,2021-12-30
ASII,1752,2021-12-30
ASJT,1753,2021-12-30
ASMI,1744,2021-12-30
ASPI,457,2021-12-30
ASRI,1753,2021-12-30
ASRM,1753,2021-12-30
ASSA,1752,2021-12-30
ATIC,1617,2021-12-30
AUTO,1752,2021-12-30
AYLS,460,2021-12-30
BABP,1753,2021-12-30
BACA,1753,2021-12-30
BAJA,1752,2021-12-30
BALI,1744,2021-12-30
BAPA,1752,2021-12-30
BAPI,563,2021-12-30
BATA,1753,2021-12-30
BAYU,1752,2021-12-30
BBCA,1753,2021-12-30
BBHI,1596,2021-12-30
BBKP,1753,2021-12-30
BBLD,1753,2021-12-30
BBMD,1745,2021-12-30
BBNI,1753,2021-12-30
BBRI,1753,2021-12-30
BBRM,1752,2021-12-30
BBSI,324,2021-12-30
BBSS,417,2021-12-30
BBTN,1753,2021-12-30
BBYB,1746,2021-12-30
BCAP,1753,2021-12-30
BCIC,1753,2021-12-30
BCIP,1752,2021-12-30
BDMN,1753,2021-12-30
BEEF,740,2021-12-30
BEKS,1753,2021-12-30
BELL,1071,2021-12-30
BESS,442,2021-12-30
BEST,1744,2021-12-30
BFIN,1753,2021-12-30
BGTG,1419,2021-12-30
BHAT,417,2021-12-30
BHIT,1753,2021-12-30
BIKA,1612,2021-12-30
BIMA,1753,2021-12-30
BINA,1753,2021-12-30
BIPI,1753,2021-12-30
BIPP,1752,2021-12-30
BIRD,1744,2021-12-30
BISI,1753,2021-12-30
BJBR,1753,2021-12-30
BJTM,1752,2021-12-30
BKDP,1752,2021-12-30
BKSL,1753,2021-12-30
BKSW,1753,2021-12-30
BLTA,1753,2021-12-30
BLTZ,1745,2021-12-30
BLUE,613,2021-12-30
BMAS,1752,2021-12-30
BMRI,1753,2021-12-30
BMSR,1753,2021-12-30
BMTR,1752,2021-12-30
BNBA,1753,2021-12-30
BNBR,1753,2021-12-30
BNGA,1752,2021-12-30
BNII,1752,2021-12-30
BNLI,1753,2021-12-30
BOGA,1268,2021-12-30
BOLA,627,2021-12-30
BOLT,1617,2021-12-30
BOSS,974,2021-12-30
BPFI,1753,2021-12-30
BPII,1745,2021-12-30
BPTR,873,2021-12-30
BRAM,1753,2021-12-30
BRIS,915,2021-12-30
BRMS,1753,2021-12-30
BRNA,1753,2021-12-30
BRPT,1753,2021-12-30
BSDE,1752,2021-12-30
BSIM,1752,2021-12-30
BSSR,1751,2021-12-30
BSWD,1753,2021-12-30
BTEK,1752,2021-12-30
BTON,1752,2021-12-30
BTPN,1752,2021-12-30
BTPS,915,2021-12-30
BUDI,1752,2021-12-30
BUKK,1632,2021-12-30
BULL,1753,2021-12-30
