ticker,observations,last_observation,train_end
AALI,1753,2021-12-30,2021-12-31
ABBA,1753,2021-12-30,2021-12-31
ABDA,1753,2021-12-30,2021-12-31
ABMM,1753,2021-12-30,2021-12-31
ACES,1752,2021-12-30,2021-12-31
ACST,1753,2021-12-30,2021-12-31
ADES,1753,2021-12-30,2021-12-31
ADHI,1753,2021-12-30,2021-12-31
ADMF,1753,2021-12-30,2021-12-31
ADMG,1753,2021-12-30,2021-12-31
ADRO,1752,2021-12-30,2021-12-31
AGAR,508,2021-12-30,2021-12-31
AGII,1326,2021-12-30,2021-12-31
AGRO,1753,2021-12-30,2021-12-31
AGRS,1745,2021-12-30,2021-12-31
AHAP,1753,2021-12-30,2021-12-31
AIMS,1753,2021-12-30,2021-12-31
AISA,1753,2021-12-30,2021-12-31
AKKU,1753,2021-12-30,2021-12-31
AKPI,1753,2021-12-30,2021-12-31
AKRA,1753,2021-12-30,2021-12-31
AKSI,1753,2021-12-30,2021-12-31
ALDO,1753,2021-12-30,2021-12-31
ALKA,1753,2021-12-30,2021-12-31
ALMI,1753,2021-12-30,2021-12-31
ALTO,1752,2021-12-30,2021-12-31
AMAG,1752,2021-12-30,2021-12-31
AMAN,438,2021-12-30,2021-12-31
AMAR,484,2021-12-30,2021-12-31
AMFG,1753,2021-12-30,2021-12-31
AMIN,1512,2021-12-30,2021-12-31
AMRT,1753,2021-12-30,2021-12-31
ANDI,843,2021-12-30,2021-12-31
ANJT,1744,2021-12-30,2021-12-31
ANTM,1753,2021-12-30,2021-12-31
APEX,1753,2021-12-30,2021-12-31
APIC,1753,2021-12-30,2021-12-31
APII,1746,2021-12-30,2021-12-31
APLI,1753,2021-12-30,2021-12-31
APLN,1753,2021-12-30,2021-12-31
ARGO,1753,2021-12-30,2021-12-31
ARII,1752,2021-12-30,2021-12-31
ARKA,611,2021-12-30,2021-12-31
ARNA,1752,2021-12-30,2021-12-31
ARTA,1752,2021-12-30,2021-12-31
ARTI,1752,2021-12-30,2021-12-31
ARTO,1494,2021-12-30,2021-12-31
ASBI,1753,2021-12-30,2021-12-31
ASDM,1753,2021-12-30,2021-12-31
ASGR,1752,2021-12-30,2021-12-31
ASII,1752,2021-12-30,2021-12-31
ASJT,1753,2021-12-30,2021-12-31
ASMI,1744,2021-12-30,2021-12-31
ASPI,457,2021-12-30,2021-12-31
ASRI,1753,2021-12-30,2021-12-31
ASRM,1753,2021-12-30,2021-12-31
ASSA,1752,2021-12-30,2021-12-31
ATIC,1617,2021-12-30,2021-12-31
AUTO,1752,2021-12-30,2021-12-31
AYLS,460,2021-12-30,2021-12-31
BABP,1753,2021-12-30,2021-12-31
BACA,1753,2021-12-30,2021-12-31
BAJA,1752,2021-12-30,2021-12-31
BALI,1744,2021-12-30,2021-12-31
BAPA,1752,2021-12-30,2021-12-31
BAPI,563,2021-12-30,2021-12-31
BATA,1753,2021-12-30,2021-12-31
BAYU,1752,2021-12-30,2021-12-31
BBCA,1753,2021-12-30,2021-12-31
BBHI,1596,2021-12-30,2021-12-31
BBKP,1753,2021-12-30,2021-12-31
BBLD,1753,2021-12-30,2021-12-31
BBMD,1745,2021-12-30,2021-12-31
BBNI,1753,2021-12-30,2021-12-31
BBRI,1753,2021-12-30,2021-12-31
BBRM,1752,2021-12-30,2021-12-31
BBSI,324,2021-12-30,2021-12-31
BBSS,417,2021-12-30,2021-12-31
BBTN,1753,2021-12-30,2021-12-31
BBYB,1746,2021-12-30,2021-12-31
BCAP,1753,2021-12-30,2021-12-31
BCIC,1753,2021-12-30,2021-12-31
BCIP,1752,2021-12-30,2021-12-31
BDMN,1753,2021-12-30,2021-12-31
BEEF,740,2021-12-30,2021-12-31
BEKS,1753,2021-12-30,2021-12-31
BELL,1071,2021-12-30,2021-12-31
BESS,442,2021-12-30,2021-12-31
BEST,1744,2021-12-30,2021-12-31
BFIN,1753,2021-12-30,2021-12-31
BGTG,1419,2021-12-30,2021-12-31
BHAT,417,2021-12-30,2021-12-31
BHIT,1753,2021-12-30,2021-12-31
BIKA,1612,2021-12-30,2021-12-31
BIMA,1753,2021-12-30,2021-12-31
BINA,1753,2021-12-30,2021-12-31
BIPI,1753,2021-12-30,2021-12-31
BIPP,1752,2021-12-30,2021-12-31
BIRD,1744,2021-12-30,2021-12-31
BISI,1753,2021-12-30,2021-12-31
BJBR,1753,2021-12-30,2021-12-31
BJTM,1752,2021-12-30,2021-12-31
BKDP,1752,2021-12-30,2021-12-31
BKSL,1753,2021-12-30,2021-12-31
BKSW,1753,2021-12-30,2021-12-31
BLTA,1753,2021-12-30,2021-12-31
BLTZ,1745,2021-12-30,2021-12-31
BLUE,613,2021-12-30,2021-12-31
BMAS,1752,2021-12-30,2021-12-31
