model,period,months,strategy_total_return,benchmark_total_return,strategy_cagr,benchmark_cagr,excess_cagr,strategy_volatility,strategy_sharpe_rf0,strategy_max_drawdown,benchmark_max_drawdown,active_hit_rate,information_ratio,beta_to_benchmark,annualized_alpha_rf0,average_monthly_turnover,rank_ic_months,rank_ic_mean_rank_ic,rank_ic_positive_rank_ic_fraction
chronos,full,126,15.835206289959878,0.35127809531749876,0.3085270619040963,0.02908649695586174,0.27944056494823455,0.40942973633285706,0.8584486943714769,-0.5460885900561259,-0.34737666250868904,0.5476190476190477,0.891410289975253,1.5636859876840812,0.33125591091977924,0.626984126984127,126,0.04162861789886709,0.5476190476190477
chronos,train,72,10.281243119424039,0.43687426506265803,0.4975896379350977,0.06227377784279686,0.43531586009230083,0.4280909709913122,1.1521166701369636,-0.5460885900561259,-0.3128695392750561,0.5138888888888888,1.092269355112816,1.398402604576078,0.4755520129708073,0.574074074074074,126,0.04162861789886709,0.5476190476190477
chronos,validation,24,0.09906722087738284,0.08698189041321247,0.04836406886032818,0.04258423660307309,0.005779832257255091,0.3263685712432248,0.3061459209635051,-0.2918001744500849,-0.08239866000360974,0.5416666666666666,0.19915889096072886,2.6636615852451277,-0.02028868393844474,0.7083333333333334,126,0.04162861789886709,0.5476190476190477
chronos,holdout,30,0.3578044517223262,-0.1348255975549968,0.1301468822890095,-0.05628368183725396,0.18643056412626346,0.4233394147497408,0.5020880560428427,-0.5322695931323678,-0.34737666250868904,0.6333333333333333,0.8221800854656447,1.5782606946919737,0.3087127825348406,0.6888888888888889,126,0.04162861789886709,0.5476190476190477
timesfm,full,126,5.303581317249815,0.35127809531749876,0.19165674936530075,0.02908649695586174,0.162570252409439,0.3348771347273986,0.6836123985466314,-0.5731981652836502,-0.34737666250868904,0.5,0.6465447318302394,1.1207230902238787,0.20099094949079865,0.7010582010582013,126,0.0236115720519964,0.49206349206349204
timesfm,train,72,6.756497160488758,0.43687426506265803,0.4069465740931153,0.06227377784279686,0.34467279625031844,0.3672758156383259,1.111363618356585,-0.3096798355269045,-0.3128695392750561,0.5833333333333334,1.067448863940377,1.4362523900558917,0.35506108328493236,0.7268518518518517,126,0.0236115720519964,0.49206349206349204
timesfm,validation,24,-0.27617083362858563,0.08698189041321247,-0.14921849669176845,0.04258423660307309,-0.19180273329484154,0.30384076211592975,-0.3868101579793547,-0.5229411773711352,-0.08239866000360974,0.2916666666666667,-0.6231006888163272,2.181271072025988,-0.19594771155627877,0.6388888888888888,126,0.0236115720519964,0.49206349206349204
timesfm,holdout,30,0.12275666803446517,-0.1348255975549968,0.0474040701329741,-0.05628368183725396,0.10368775197022806,0.2509154384571662,0.302444847042773,-0.275794481583742,-0.34737666250868904,0.4666666666666667,0.47970079226342177,0.5855988301660905,0.10249741350979669,0.6888888888888889,126,0.0236115720519964,0.49206349206349204
kronos,full,126,3.241625095910014,0.35127809531749876,0.14753245964374972,0.02908649695586174,0.11844596268788798,0.34186521474167214,0.5682855606672503,-0.5451136867957087,-0.34737666250868904,0.5079365079365079,0.5276804568725114,1.227814727403475,0.15579157870577443,0.7116402116402115,126,0.010598666862606373,0.5317460317460317
kronos,train,72,2.379251119306619,0.43687426506265803,0.22500184947187263,0.06227377784279686,0.16272807162907577,0.37540438159714723,0.7204987045244194,-0.5451136867957087,-0.3128695392750561,0.5,0.6324291201767411,1.5962197837517125,0.17092876837431215,0.7222222222222222,126,0.010598666862606373,0.5317460317460317
kronos,validation,24,-0.024382723925581384,0.08698189041321247,-0.012266596659595286,0.04258423660307309,-0.054850833262668375,0.28502899590897685,0.09253900921736677,-0.3025057664299944,-0.08239866000360974,0.4583333333333333,-0.07549792363724417,1.8302568665574626,-0.054917602376561625,0.6666666666666666,126,0.010598666862606373,0.5317460317460317
kronos,holdout,30,0.28656677422478194,-0.1348255975549968,0.10604534579326819,-0.05628368183725396,0.16232902763052215,0.30156980561462543,0.48318678158660777,-0.3059130117473431,-0.34737666250868904,0.5666666666666667,0.6820364355164051,0.7318426698928072,0.18777117089986617,0.7222222222222221,126,0.010598666862606373,0.5317460317460317
foundation_ensemble,full,126,5.482811640418052,0.35127809531749876,0.19484288090195934,0.02908649695586174,0.1657563839460976,0.3034399910791974,0.7319259085145792,-0.39567575906239905,-0.34737666250868904,0.5317460317460317,0.6833468336279543,0.9880626961932403,0.19912587073411947,0.7433862433862434,126,0.03868710614748815,0.5952380952380952
foundation_ensemble,train,72,4.947788048231325,0.43687426506265803,0.34604397151060273,0.06227377784279686,0.28377019366780587,0.3300767547541874,1.0610416902403421,-0.39567575906239905,-0.3128695392750561,0.5972222222222222,0.9627837420217488,1.156957619817872,0.30516634539779663,0.7314814814814814,126,0.03868710614748815,0.5952380952380952
foundation_ensemble,validation,24,-0.018917992519923765,0.08698189041321247,-0.009504160796181771,0.04258423660307309,-0.05208839739925486,0.2588264219726017,0.0834445989966138,-0.2458297655171101,-0.08239866000360974,0.2916666666666667,-0.10028295407594968,1.3087468202200607,-0.03691726986540056,0.7638888888888888,126,0.03868710614748815,0.5952380952380952
foundation_ensemble,holdout,30,0.11097070775898854,-0.1348255975549968,0.04299215859270533,-0.05628368183725396,0.0992758404299593,0.26262457160193736,0.28551355314796545,-0.26590074473251435,-0.34737666250868904,0.5666666666666667,0.5005799399134605,0.727759134180997,0.10738113713507347,0.7555555555555556,126,0.03868710614748815,0.5952380952380952
foundation_ensemble_volmanaged,full,126,4.008331035623947,0.35127809531749876,0.1658359175598061,0.02908649695586174,0.13674942060394435,0.2699922267683676,0.695345261478235,-0.3559018888067218,-0.34737666250868904,0.5238095238095238,0.5878221238608725,0.7206628963158008,0.17134978829415215,0.6566733697828097,126,0.03868710614748815,0.5952380952380952
foundation_ensemble_volmanaged,train,72,3.84663963811503,0.43687426506265803,0.300888641228102,0.06227377784279686,0.23861486338530513,0.30280625386004056,1.012890528030055,-0.3559018888067218,-0.3128695392750561,0.5972222222222222,0.8431586905304578,0.8484525029044137,0.27743476195149364,0.6467277500635491,126,0.03868710614748815,0.5952380952380952
foundation_ensemble_volmanaged,validation,24,-0.018917992519923765,0.08698189041321247,-0.009504160796181771,0.04258423660307309,-0.05208839739925486,0.2588264219726017,0.0834445989966138,-0.2458297655171101,-0.08239866000360974,0.2916666666666667,-0.10028295407594968,1.3087468202200607,-0.03691726986540056,0.7638888888888888,126,0.03868710614748815,0.5952380952380952
