model,cap,months,market_active_annualized_mean,market_ci_lower,market_ci_median,market_ci_upper,market_positive_probability,control_active_annualized_mean,control_ci_lower,control_ci_median,control_ci_upper,control_positive_probability,samples,block_length
cap150_raw_ridge,150,30,-0.4255203721534855,-1.029094447768548,-0.44618123986293956,0.23516490597252318,0.0962,-0.14696082674245375,-0.8583246635500762,-0.15542908862997712,0.5584154950000374,0.3376,5000,3
cap150_raw_lightgbm,150,30,0.6257162159210155,-0.21426198967625387,0.617804995739854,1.5222355146645945,0.9272,0.9042757613320472,-0.0238860919543008,0.8795059443219122,1.982700422281781,0.972,5000,3
cap150_rank_ridge,150,30,0.2503483424488979,-0.008115293394854936,0.24587033148864157,0.512706068670094,0.9696,0.5289078878599299,-0.10050367592408035,0.5183210319967232,1.2045201174090847,0.9448,5000,3
cap150_rank_lightgbm,150,30,0.09487449861955882,-0.2173596372706929,0.08657057726205472,0.42496691350916094,0.7066,0.3734340440305906,-0.18983180466195718,0.363324157802914,1.0365192920614488,0.8942,5000,3
cap150_raw_ensemble,150,30,0.07034824312488112,-0.7424579161192593,0.0467276834802568,0.9857148970868528,0.542,0.34890778853591303,-0.5205392370697135,0.3030886434486521,1.5143938875615464,0.7332,5000,3
cap150_rank_ensemble,150,30,-0.00702955717994102,-0.2506907640896128,-0.009769864395438662,0.2708914270179049,0.4676,0.27152998823109087,-0.3749928095763322,0.25523021357603887,0.9749041967239042,0.7716,5000,3
cap150_rank_ensemble_volmanaged,150,30,-0.01482617353021154,-0.25089170381843107,-0.014375731581269435,0.21217178178168142,0.4572,0.2637333718808204,-0.4190459882059706,0.25507409278758414,1.014924382224083,0.7638,5000,3
cap300_raw_ridge,300,30,0.985240926072795,-0.1147497286057796,0.9354031423338705,2.3858919933328506,0.9542,0.6661241340766233,-0.20611554544478236,0.6046138866758369,1.8144373986516036,0.8928,5000,3
cap300_raw_lightgbm,300,30,0.6288318692165277,-0.35016353727943816,0.5920703359049195,1.8363225470882842,0.875,0.30971507722035646,-0.17879700530212198,0.31103213564218696,0.7955915374638415,0.8904,5000,3
cap300_rank_ridge,300,30,0.3637799213118212,0.0618265911799988,0.35779329195281373,0.6720479037832844,0.9936,0.04466312931564973,-1.077695348492961,0.10204748262093383,0.9304518175409827,0.5764,5000,3
cap300_rank_lightgbm,300,30,0.34666034668299406,-0.18048549809231018,0.33096796817756224,0.9343770647608469,0.885,0.027543554686822718,-0.7943698518478494,0.049237379224581324,0.8342030450186929,0.5516,5000,3
cap300_raw_ensemble,300,30,0.8893778632055135,-0.08055278294147582,0.8218269862762148,2.3463884921072404,0.9502,0.5702610712093417,-0.09551279444588213,0.5592964886374368,1.271129108034298,0.9552,5000,3
cap300_rank_ensemble,300,30,0.25901606307674724,-0.056384064303965975,0.2576480932945179,0.5901851074621042,0.941,-0.060100728919424216,-1.0139095740406607,-0.025223991065393903,0.74042544414597,0.4738,5000,3
cap300_rank_ensemble_volmanaged,300,30,0.1912064541307852,-0.11185445279207835,0.19051831120921597,0.4904505793418179,0.8888,-0.12791033786538608,-1.1467884928263767,-0.08405528813998937,0.6951053082451448,0.424,5000,3
