model,cost_bps,period,months,strategy_total_return,benchmark_total_return,strategy_cagr,benchmark_cagr,excess_cagr,strategy_volatility,strategy_sharpe_rf0,strategy_max_drawdown,benchmark_max_drawdown,active_hit_rate,information_ratio,beta_to_benchmark,annualized_alpha_rf0,average_monthly_turnover
cap300_composite,25.0,holdout_2025,12,0.5952429718540904,0.17166648362633885,0.5952429718540904,0.17166648362633885,0.4235764882277515,1.2158145573183088,0.7665835208161306,-0.30149651614243955,-0.03669877287899381,0.4166666666666667,0.6383110276945163,1.5787325220644923,0.890383577000134,0.6666666666666666
cap300_composite,25.0,lockbox_2026,6,-0.48037375192538356,-0.2513300577277705,-0.7299885623118971,-0.4394933175380965,-0.2904952447738007,0.5557566664567787,-1.9785369257091436,-0.4310971590321625,-0.31477094466744704,0.3333333333333333,-1.2029483569280357,0.9012767007340309,-0.47536454103361936,0.611111111111111
cap300_composite,100.0,holdout_2025,12,0.5052661905081779,0.17166648362633885,0.5052661905081779,0.17166648362633885,0.33359970688183904,1.2131871235831768,0.7187872233864736,-0.3219900780745292,-0.03669877287899381,0.4166666666666667,0.5889681932729877,1.5774837575044143,0.7859578624190471,0.6666666666666666
cap300_composite,100.0,lockbox_2026,6,-0.49721683332504296,-0.2513300577277705,-0.7472090873083024,-0.4394933175380965,-0.30771576977020587,0.5623465449737665,-2.053155828222645,-0.4447018038356432,-0.31477094466744704,0.3333333333333333,-1.3019696670995073,0.9102493512077974,-0.5025463320007222,0.611111111111111
mlp_rank,25.0,holdout_2025,12,0.7925327006962142,0.17166648362633885,0.7925327006962142,0.17166648362633885,0.6208662170698753,0.36959495926620245,1.774445033665655,-0.07366865851654958,-0.03669877287899381,0.5,1.2434848644248369,0.32609210555536333,0.7931127983003754,0.75
mlp_rank,25.0,lockbox_2026,6,0.02424032408006771,-0.2513300577277705,0.04906824147164213,-0.4394933175380965,0.48856155900973863,0.2056550008391221,0.31682449024535186,-0.07124201957569132,-0.31477094466744704,0.6666666666666666,1.896796246116324,0.22712433306839142,0.20032909537756582,0.5555555555555555
mlp_rank,100.0,holdout_2025,12,0.6803131573404919,0.17166648362633885,0.6803131573404919,0.17166648362633885,0.5086466737141531,0.36917813626565327,1.5936099192895465,-0.0832686927750299,-0.03669877287899381,0.5,1.0683554452580155,0.32108673810890903,0.6825836632469491,0.75
mlp_rank,100.0,lockbox_2026,6,-0.001232480176225681,-0.2513300577277705,-0.002463441345066597,-0.4394933175380965,0.4370298761930299,0.2077884067275187,0.07294218693893552,-0.08077556751554527,-0.31477094466744704,0.6666666666666666,1.7353766693355364,0.23145853369022493,0.1451000122339916,0.5555555555555555
chronos2_zero_shot_lower10,25.0,holdout_2025,12,0.25233209647550203,0.17166648362633885,0.25233209647550203,0.17166648362633885,0.08066561284916318,0.2926536040269003,0.8998759091149138,-0.02155925136104153,-0.03669877287899381,0.4166666666666667,0.3489708470852768,0.8295388876358297,0.12376525472924449,0.6666666666666666
chronos2_zero_shot_lower10,25.0,lockbox_2026,6,0.3153653847008062,-0.2513300577277705,0.7301860952690999,-0.4394933175380965,1.1696794128071963,0.09292040353851708,6.073797294237041,0.0,-0.31477094466744704,0.8333333333333334,2.8377811872026895,-0.19957425898951411,0.5704508653730824,0.7222222222222222
