model,period,months,strategy_total_return,benchmark_total_return,strategy_cagr,benchmark_cagr,excess_cagr,strategy_volatility,strategy_sharpe_rf0,strategy_max_drawdown,benchmark_max_drawdown,active_hit_rate,information_ratio,beta_to_benchmark,annualized_alpha_rf0,average_monthly_turnover
cap300_composite,validation_2022_2023,24,-0.029152767584837647,0.08698189041321247,-0.014684196607421485,0.04258423660307309,-0.057268433210494574,0.6213730936083272,0.2703974430700255,-0.4535050335016151,-0.08239866000360974,0.4583333333333333,0.19551643544295938,-0.09239127384490183,0.18645513718908213,0.6388888888888888
cap300_composite,holdout_2024,12,0.30413354070174137,-0.013699490369203038,0.30413354070174137,-0.013699490369203038,0.3178330310709444,0.3388391816783131,0.9481363283947091,-0.1443493273418509,-0.07702368625268208,0.5833333333333334,1.014615314385736,0.9152403466932907,0.3838746055297366,0.5833333333333334
cap300_composite,holdout_2025,12,0.5952429718540904,0.17166648362633885,0.5952429718540904,0.17166648362633885,0.4235764882277515,1.2158145573183088,0.7665835208161306,-0.30149651614243955,-0.03669877287899381,0.4166666666666667,0.6383110276945163,1.5787325220644923,0.890383577000134,0.6666666666666666
cap300_composite,lockbox_2026,6,-0.48037375192538356,-0.2513300577277705,-0.7299885623118971,-0.4394933175380965,-0.2904952447738007,0.5557566664567787,-1.9785369257091436,-0.4310971590321625,-0.31477094466744704,0.3333333333333333,-1.2029483569280357,0.9012767007340309,-0.47536454103361936,0.611111111111111
cap300_composite,full,90,1.571018544008541,-0.045437725311691324,0.13417663066000451,-0.0061811369780534475,0.14035776763805796,0.6486295664133394,0.4648244639973374,-0.6247951934077713,-0.34737666250868915,0.5222222222222223,0.469130210501711,1.017806588754158,0.3374367856567986,0.5962962962962963
mlp_rank,validation_2022_2023,24,0.5390290545092973,0.08698189041321247,0.24057609783088174,0.04258423660307309,0.19799186122780865,0.3731542147166282,0.7385833257112346,-0.2175626646963219,-0.08239866000360974,0.5,0.5864263314666863,-0.5544900622985447,0.3457657806326382,0.5694444444444443
mlp_rank,holdout_2024,12,0.5088507127435562,-0.013699490369203038,0.5088507127435562,-0.013699490369203038,0.5225502031127592,0.27769620638308046,1.6286595867376903,-0.07200377597626206,-0.07702368625268208,0.6666666666666666,1.888945644966494,1.310694585381361,0.5762921352421422,0.5833333333333334
mlp_rank,holdout_2025,12,0.7925327006962142,0.17166648362633885,0.7925327006962142,0.17166648362633885,0.6208662170698753,0.36959495926620245,1.774445033665655,-0.07366865851654958,-0.03669877287899381,0.5,1.2434848644248369,0.32609210555536333,0.7931127983003754,0.75
mlp_rank,lockbox_2026,6,0.02424032408006771,-0.2513300577277705,0.04906824147164213,-0.4394933175380965,0.48856155900973863,0.2056550008391221,0.31682449024535186,-0.07124201957569132,-0.31477094466744704,0.6666666666666666,1.896796246116324,0.22712433306839142,0.20032909537756582,0.5555555555555555
mlp_rank,full,90,3.3288801322720785,-0.045437725311691324,0.21576622653557442,-0.0061811369780534475,0.22194736351362787,0.2886991088264689,0.8133291589475361,-0.2175626646963218,-0.34737666250868915,0.5444444444444444,0.7308299578811074,0.2343892334317253,0.25975203524964363,0.6333333333333333
