model,period,months,strategy_total_return,benchmark_total_return,strategy_cagr,benchmark_cagr,excess_cagr,strategy_volatility,strategy_sharpe_rf0,strategy_max_drawdown,benchmark_max_drawdown,active_hit_rate,information_ratio,beta_to_benchmark,annualized_alpha_rf0,average_monthly_turnover
existing_composite,full,138,40.447864936563285,0.17903059532174082,0.382459324457181,0.014424131309626276,0.36803519314755473,0.3829497804618783,1.0297700331208257,-0.38101440734819103,-0.34737666250868904,0.5942028985507246,1.0933663706646355,1.2605429298990656,0.4290789797772825,0.3079710144927536
existing_composite,train,84,18.20484602197322,0.2537158161668134,0.5252618374710876,0.03282904728871272,0.49243279018237485,0.40319496360488427,1.2417621869895692,-0.38101440734819103,-0.31286953927505634,0.5952380952380952,1.267047999939747,1.3164424333979867,0.5481430326646326,0.2996031746031746
existing_composite,validation,24,0.5183608604957741,0.08698189041321247,0.2322178624317106,0.04258423660307309,0.18963362582863752,0.3034508607775719,0.8336018168977453,-0.2244585756539612,-0.08239866000360974,0.5,0.731149487183088,1.290602946234029,0.21295697775749733,0.2916666666666667
existing_composite,holdout,30,0.42140007615015396,-0.1348255975549968,0.15102971028795453,-0.05628368183725396,0.2073133921252085,0.3839871933885257,0.5462757154419654,-0.36842269174322184,-0.34737666250868904,0.6666666666666666,0.8058447216357891,1.1618682673195655,0.2852382937280262,0.3444444444444444
ridge,full,138,2.892392953538977,0.17903059532174082,0.1254421838608324,0.014424131309626276,0.11101805255120611,0.35721989302831014,0.5019664380486332,-0.5436802966567827,-0.34737666250868904,0.4927536231884058,0.4639622435364756,0.9060918653731098,0.16804638960218599,0.4033816425120773
ridge,train,84,1.477453081132861,0.2537158161668134,0.1383779924198858,0.03282904728871272,0.10554894513117308,0.32872744309018703,0.548646857475614,-0.4301595777080024,-0.31286953927505634,0.4880952380952381,0.45341814974738165,0.8929405141899274,0.1523783460931536,0.4325396825396825
ridge,validation,24,-0.15701411903899176,0.08698189041321247,-0.08185737439055352,0.04258423660307309,-0.1244416109936266,0.408788846409129,-0.02509608033660122,-0.4708861575379395,-0.08239866000360974,0.375,-0.1415481352317511,1.4482548823657728,-0.07314610136739141,0.3333333333333333
ridge,holdout,30,0.8637640847561094,-0.1348255975549968,0.2827923915763384,-0.05628368183725396,0.33907607341359236,0.3957631206046737,0.8289035247913079,-0.4429105211986808,-0.34737666250868904,0.6,1.0311872444186394,0.8838406477639941,0.42768100963531497,0.3777777777777778
lightgbm,full,138,14.771459407809887,0.17903059532174082,0.27105040218459275,0.014424131309626276,0.2566262708749665,0.37713193163559033,0.8215023542854762,-0.4969295943530584,-0.34737666250868904,0.5289855072463768,0.8658516742032425,1.29631935883832,0.31495771836588493,0.4347826086956521
lightgbm,train,84,4.640172430183401,0.2537158161668134,0.28034639515953774,0.03282904728871272,0.24751734787082502,0.34988318281917746,0.8763178549116044,-0.37692883268251587,-0.31286953927505634,0.5119047619047619,0.8441411696323005,1.127316599938668,0.2921082440257261,0.3849206349206349
lightgbm,validation,24,0.4280578399735451,0.08698189041321247,0.19501374049570863,0.04258423660307309,0.15242950389263554,0.36966589378169334,0.659093429014374,-0.2066929751858566,-0.08239866000360974,0.5416666666666666,0.5983457036994261,2.3584935443360044,0.1459854999343937,0.4305555555555555
lightgbm,holdout,30,0.9580947515422364,-0.1348255975549968,0.30837874821628275,-0.05628368183725396,0.3646624300535367,0.4610019650814265,0.8063470765016107,-0.4969295943530583,-0.34737666250868904,0.5666666666666667,1.0946018325985987,1.4044303985701903,0.5179449714824536,0.5777777777777777
ensemble,full,138,7.103916452646214,0.17903059532174082,0.19954612631108626,0.014424131309626276,0.18512199500145998,0.32982294170082377,0.7147313882442538,-0.4137615265092033,-0.34737666250868904,0.5289855072463768,0.7279430803171356,1.0864716275403898,0.2292528808290315,0.44202898550724634
ensemble,train,84,2.4119857028496594,0.2537158161668134,0.19163674378513917,0.03282904728871272,0.15880769649642645,0.32177625443957536,0.7030461174607445,-0.4137615265092033,-0.31286953927505634,0.5238095238095238,0.647072328702518,1.0848473423345912,0.19613463671607123,0.42460317460317465
ensemble,validation,24,-0.037087715896906404,0.08698189041321247,-0.018719059543550687,0.04258423660307309,-0.061303296146623776,0.3192393201925716,0.09193847454019913,-0.319461839759124,-0.08239866000360974,0.4583333333333333,-0.05285132275464858,1.3355472511049922,-0.030578595913849593,0.4305555555555555
