signal_date,eligible_count,paper_complete_count
2015-01-31,0,0
2015-02-28,300,0
2015-03-31,300,0
2015-04-30,300,0
2015-05-31,300,0
2015-06-30,300,0
2015-07-31,300,0
2015-08-31,300,0
2015-09-30,300,0
2015-10-31,300,0
2015-11-30,300,0
2015-12-31,300,0
2016-01-31,300,290
2016-02-29,300,286
2016-03-31,300,286
2016-04-30,300,285
2016-05-31,300,287
2016-06-30,300,290
2016-07-31,300,292
2016-08-31,300,291
2016-09-30,300,288
2016-10-31,300,288
2016-11-30,300,285
2016-12-31,300,289
2017-01-31,300,291
2017-02-28,300,290
2017-03-31,300,290
2017-04-30,300,290
2017-05-31,300,290
2017-06-30,300,291
2017-07-31,300,289
2017-08-31,300,283
2017-09-30,300,283
2017-10-31,300,283
2017-11-30,300,281
2017-12-31,300,279
2018-01-31,300,277
2018-02-28,300,274
2018-03-31,300,273
2018-04-30,300,272
2018-05-31,300,272
2018-06-30,300,275
2018-07-31,300,269
2018-08-31,300,266
2018-09-30,300,264
2018-10-31,300,266
2018-11-30,300,266
2018-12-31,300,265
2019-01-31,300,264
2019-02-28,300,263
2019-03-31,300,260
2019-04-30,300,261
2019-05-31,300,267
2019-06-30,300,267
2019-07-31,300,273
2019-08-31,300,267
2019-09-30,300,260
2019-10-31,300,266
2019-11-30,300,265
2019-12-31,300,269
2020-01-31,300,269
2020-02-29,300,269
2020-03-31,300,265
2020-04-30,300,261
2020-05-31,300,261
2020-06-30,300,264
2020-07-31,300,268
2020-08-31,300,270
2020-09-30,300,269
2020-10-31,300,271
2020-11-30,300,274
2020-12-31,300,274
2021-01-31,300,283
2021-02-28,300,284
2021-03-31,300,282
2021-04-30,300,283
2021-05-31,300,281
2021-06-30,300,282
2021-07-31,300,279
2021-08-31,300,277
2021-09-30,300,275
2021-10-31,300,276
2021-11-30,300,271
2021-12-31,300,277
2022-01-31,300,272
2022-02-28,300,270
2022-03-31,300,267
2022-04-30,300,269
2022-05-31,300,268
2022-06-30,300,266
2022-07-31,300,270
2022-08-31,300,272
2022-09-30,300,265
2022-10-31,300,261
2022-11-30,300,264
2022-12-31,300,272
2023-01-31,300,264
2023-02-28,300,267
2023-03-31,300,261
2023-04-30,300,260
2023-05-31,300,257
2023-06-30,300,253
2023-07-31,300,256
2023-08-31,300,262
2023-09-30,300,257
2023-10-31,300,257
2023-11-30,300,261
2023-12-31,300,258
2024-01-31,300,260
2024-02-29,300,263
2024-03-31,300,264
2024-04-30,300,258
2024-05-31,300,264
2024-06-30,300,262
2024-07-31,300,265
2024-08-31,300,271
2024-09-30,300,273
2024-10-31,300,276
2024-11-30,300,279
2024-12-31,300,280
2025-01-31,300,283
2025-02-28,300,285
2025-03-31,300,280
2025-04-30,300,282
2025-05-31,300,283
2025-06-30,300,281
2025-07-31,300,286
2025-08-31,300,286
2025-09-30,300,280
2025-10-31,300,286
2025-11-30,300,290
2025-12-31,300,292
2026-01-31,300,295
2026-02-28,300,293
2026-03-31,300,293
2026-04-30,300,294
2026-05-31,300,294
2026-06-30,300,293
2026-07-31,300,296
