model,period,months,strategy_total_return,benchmark_total_return,strategy_cagr,benchmark_cagr,excess_cagr,strategy_volatility,strategy_sharpe_rf0,strategy_max_drawdown,benchmark_max_drawdown,active_hit_rate,information_ratio,beta_to_benchmark,annualized_alpha_rf0,average_monthly_turnover
cap300_composite,train,84,18.302815264192798,0.2537158161668134,0.5263709554794065,0.03282904728871272,0.49354190819069377,0.3926774301126025,1.2747300025301014,-0.3907201964490009,-0.31286953927505634,0.5952380952380952,1.1795380045905002,0.582461609919646,0.5948474096807161,0.45238095238095244
cap300_composite,validation,24,-0.029152767584837647,0.08698189041321247,-0.014684196607421485,0.04258423660307309,-0.057268433210494574,0.6213730936083272,0.2703974430700255,-0.4535050335016151,-0.08239866000360974,0.4583333333333333,0.19551643544295938,-0.09239127384490183,0.18645513718908213,0.6388888888888888
cap300_composite,holdout_2024,12,0.30413354070174137,-0.013699490369203038,0.30413354070174137,-0.013699490369203038,0.3178330310709444,0.3388391816783131,0.9481363283947091,-0.1443493273418509,-0.07702368625268208,0.5833333333333334,1.014615314385736,0.9152403466932907,0.3838746055297366,0.5833333333333334
cap300_composite,holdout_2025_2026,18,-0.1710698797680581,-0.12280852134116271,-0.11757335399211,-0.08364672551481533,-0.03392662847729466,1.062195113252671,0.23989996821533238,-0.6247951934077713,-0.34737666250868915,0.3888888888888889,0.31030450704588264,1.4652070500962318,0.39604824556163454,0.6481481481481481
cap300_composite,full,138,19.25869827927619,0.17903059532174082,0.29902764782198554,0.014424131309626276,0.28460351651235927,0.5559099367620265,0.7106931474068201,-0.6247951934077713,-0.34737666250868904,0.5434782608695652,0.6832082412270565,0.8755571192604894,0.44369986289388996,0.5217391304347826
paper_factor,train,84,1.0844677832943934,0.2537158161668134,0.1106334286235171,0.03282904728871272,0.07780438133480438,0.1729317560638215,0.6933393345017409,-0.22157782892324995,-0.31286953927505634,0.5119047619047619,0.3641323114616573,0.09684705055457757,0.1221626252613337,0.34920634920634913
paper_factor,validation,24,0.8552165016269468,0.08698189041321247,0.36206332511632766,0.04258423660307309,0.31947908851325457,0.3586182400392349,1.0168377992652278,-0.11076460034412461,-0.08239866000360974,0.5,0.8222188774331278,-1.0581181871486125,0.5001305537494722,0.47222222222222215
paper_factor,holdout_2024,12,-0.21492034447559138,-0.013699490369203038,-0.21492034447559138,-0.013699490369203038,-0.20122085410638835,0.18348066286377018,-1.2196995350192632,-0.23704431866042186,-0.07702368625268208,0.25,-1.1687385112848068,0.49208501468669225,-0.19867574957496026,0.5000000000000001
paper_factor,holdout_2025_2026,18,0.4589938356575973,-0.12280852134116271,0.28637908786985,-0.08364672551481533,0.37002581338466534,0.563961458778471,0.6831332291744255,-0.4475823209927108,-0.34737666250868915,0.6111111111111112,0.8688440534279942,0.9801851911290884,0.5421999869224658,0.40740740740740733
paper_factor,full,138,3.429523050493632,0.17903059532174082,0.13816428503859668,0.014424131309626276,0.1237401537289704,0.29016932015177477,0.5761900681665904,-0.4475823209927108,-0.34737666250868904,0.5,0.4718080697701233,0.356419212660293,0.17014072470706898,0.391304347826087
cap300_rank_ridge,train,84,0.2170372304949737,0.2537158161668134,0.02845730267746993,0.03282904728871272,-0.004371744611242789,0.28547687598236304,0.23187731184583524,-0.459878707712541,-0.31286953927505634,0.5119047619047619,0.07656757050061255,0.06951029320227045,0.06512888435730924,0.6269841269841271
cap300_rank_ridge,validation,24,0.3931929277276063,0.08698189041321247,0.18033593850547747,0.04258423660307309,0.13775170190240438,0.19625073560774617,0.9355371135435961,-0.06938709326755088,-0.08239866000360974,0.5,0.6022222838059244,-0.4970408032129879,0.22668640583478705,0.5555555555555555
cap300_rank_ridge,holdout_2024,12,0.11002009216552322,-0.013699490369203038,0.11002009216552322,-0.013699490369203038,0.12371958253472626,0.18400239412499625,0.652419757114374,-0.08955800038509665,-0.07702368625268208,0.5833333333333334,0.8310863734529552,0.9539974734707991,0.13628590501006266,0.6666666666666666
cap300_rank_ridge,holdout_2025_2026,18,0.892325878136718,-0.12280852134116271,0.5299031976384165,-0.08364672551481533,0.6135499231532319,0.2670354877744784,1.7353689086875606,-0.056111789510323584,-0.34737666250868915,0.6111111111111112,1.675265965267025,0.29486226399662746,0.6013558046285552,0.611111111111111
cap300_rank_ridge,full,138,2.561573354772087,0.17903059532174082,0.11678316956433155,0.014424131309626276,0.10235903825470527,0.2624123178807253,0.5453493297994112,-0.459878707712541,-0.34737666250868904,0.5289855072463768,0.405132809194452,0.1372171290320981,0.14891927760302348,0.6159420289855072
